KEGG_ID	S1	S2	S3	S4	S5	A	B	C	D	E
Sterol biosynthesis	3.96918E-05	0.000300932	3.6968E-05	4.30674E-05	1.70373E-05	2.93717E-05	1.54461E-05	1.23634E-05	4.15049E-05	9.91625E-06
Glycosaminoglycan metabolism	6.66422E-05	0.000697769	0.000100959	9.06266E-05	2.72597E-05	0.000106564	5.63138E-05	2.87583E-05	0.000159634	6.57604E-05
Cofactor and vitamin biosynthesis	0.002571563	0.003029728	0.004045837	0.014612283	0.003432292	0.001948729	0.000988549	0.000924028	0.001796744	0.000906032
Purine metabolism	2.33481E-06	4.29703E-05	1.94569E-06	1.00403E-05	1.13582E-06	1.45645E-06	0	0	1.47355E-06	0
Fatty acid metabolism	8.99904E-05	5.65827E-05	1.88083E-05	1.40035E-05	5.19233E-06	0.000127197	5.08434E-05	4.51532E-05	6.80287E-05	3.31411E-05
Spliceosome	0.000254695	0.000209435	0.000135658	2.6686E-05	4.3648E-05	7.01523E-05	4.56947E-05	4.48844E-05	8.6448E-05	7.933E-05
Phosphate and amino acid transport system	0.001087789	0.001008693	0.000334766	0.000308078	8.17792E-05	0.000258762	8.46317E-05	8.76187E-05	0.000250012	0.000113776
Ribosome	0.001164004	0.000362735	0.000524687	7.13387E-05	8.08056E-05	0.000300028	0.000241023	0.000251568	0.000337442	0.000343937
Glycan metabolism	0.000167339	0.001768041	0.000245373	0.000186273	6.78248E-05	0.000313137	0.000161218	7.39115E-05	0.000406944	0.000180058
Phenylpropanoid and flavonoid biosynthesis	0.000311964	0.000388753	0.000316066	2.64217E-05	3.45614E-05	0.000301242	0.000131292	0.000155886	0.000239451	0.000160226
Aromatics degradation	0.002039026	0.001276619	0.00152812	0.005045497	0.001176062	0.000717787	0.000339814	0.000323598	0.000640256	0.000314971
Polyamine biosynthesis	0.000675528	0.000749328	0.000708986	4.51812E-05	7.05832E-05	0.000646178	0.000288327	0.000346175	0.000508865	0.000360638
Phosphotransferase system (PTS)	0.006239021	0.006470074	0.012521892	0.047803283	0.0125471	0.005497852	0.00286557	0.002915876	0.005298135	0.002824043
Other terpenoid biosynthesis	4.35943E-05	7.04758E-05	1.28631E-05	1.47962E-05	3.89425E-06	2.9129E-05	2.89614E-05	2.25766E-05	5.05918E-05	2.63563E-05
Methane metabolism	0.001177146	0.001470645	0.000608027	0.00063148	0.000125103	0.000340081	0.000147381	0.000167981	0.000406699	0.00018058
Carbon fixation	0.010161307	0.008175273	0.019028372	0.071536882	0.019049356	0.008079408	0.004217102	0.004413726	0.00793652	0.004222496
ABC-2 type and other transport systems	0.00113105	0.001447069	0.000714823	0.000257876	0.000233168	0.00055515	0.000355903	0.000287045	0.000609066	0.000308969
DNA polymerase	0.000171976	0.00010584	7.24227E-06	3.54051E-05	3.89425E-06	1.04379E-05	9.6538E-07	6.18169E-06	1.52266E-05	2.08763E-06
Replication system	0.000645976	0.000216872	0.000342765	8.40212E-05	4.8029E-05	0.000144917	5.53485E-05	6.90737E-05	0.000129918	9.83796E-05
Other carbohydrate metabolism	0.001471366	0.001047678	0.001342955	0.004904405	0.001153671	0.00073138	0.000354295	0.000332467	0.000669236	0.000345764
Two-component regulatory system	0.0034715	0.002199877	0.001146333	0.000396326	0.000296125	0.000679433	0.000340457	0.000427074	0.000760104	0.000473631
Proteasome	0.000943298	0.001951317	0.000537982	0.000905473	9.55713E-05	0.000334012	0.00014352	0.000156155	0.00045729	0.000127346
Pyrimidine metabolism	0.000214136	0.000101518	0.000187867	1.87594E-05	1.91467E-05	9.15135E-05	6.27497E-05	5.9398E-05	7.29405E-05	9.75968E-05
Nucleotide sugar	1.11404E-05	9.06558E-05	1.34036E-05	8.98339E-06	5.19233E-06	7.28224E-06	5.79228E-06	4.30031E-06	1.17884E-05	3.13145E-06
Branched-chain amino acid metabolism	0.000658751	0.00023012	0.000201378	7.39809E-05	3.06672E-05	0.000119914	6.95074E-05	6.42358E-05	0.000117393	9.55091E-05
Nitrogen metabolism	0.00107825	0.000174351	0.00035833	7.74157E-05	0.000102548	0.000299786	0.000152208	0.000174162	0.0002618	0.000219723
Aromatic amino acid metabolism	0.000859678	0.000444943	0.000434969	0.000143206	0.000126238	0.000312894	0.000137084	0.000137072	0.000281938	0.000182407
Bacterial secretion system	0.000287315	0.00037994	0.000114579	8.63991E-05	3.39124E-05	0.000132294	3.92588E-05	4.08529E-05	0.000111253	3.26192E-05
Saccharide and polyol transport system	0.000283513	0.001353017	0.000303635	0.000175969	9.42732E-05	0.000338139	0.000165724	0.000150779	0.000483569	0.000128128
Serine and threonine metabolism	0.00024182	4.67312E-05	0.000229591	3.24987E-05	4.00783E-05	0.000166035	8.94586E-05	7.7943E-05	0.000111498	0.000131521
Sulfur metabolism	0.00027811	0.000259871	0.000159438	2.45722E-05	2.92068E-05	0.000136178	0.00010233	0.000103745	0.000174615	0.000132304
Metabolic capacity	1.52763E-05	0.000488026	4.81017E-05	4.2539E-05	4.57574E-05	0.000198077	0.000111019	8.51998E-05	0.000265484	9.6292E-05
Drug resistance	0.000529769	0.000490608	0.000188407	0.000175969	3.14785E-05	0.000126954	5.08434E-05	5.45601E-05	0.000113217	4.30574E-05
Arginine and proline metabolism	4.08592E-05	7.83625E-05	1.94569E-05	7.39809E-06	5.67911E-06	2.54879E-05	9.6538E-06	5.37538E-06	2.79974E-05	7.04576E-06
Aminoacyl tRNA	1.05067E-05	0.000113306	1.66464E-05	1.18898E-05	2.59616E-05	1.99048E-05	1.67333E-05	2.25766E-05	2.38223E-05	1.98325E-05
Sugar metabolism	7.30463E-05	2.18079E-05	6.02082E-05	1.08329E-05	1.29808E-05	6.91813E-05	2.70306E-05	2.52643E-05	4.42064E-05	4.41012E-05
ATP synthesis	0.000896168	0.00095966	0.000414755	0.000170684	8.74583E-05	0.000475531	0.000252608	0.000215553	0.000520653	0.000288093
Terpenoid backbone biosynthesis	0.000220606	0.00016739	6.72342E-05	4.72949E-05	1.46034E-05	3.54403E-05	1.57679E-05	1.58574E-05	3.41372E-05	1.33087E-05
Lipopolysaccharide metabolism	2.07798E-05	0.000121192	1.55655E-05	1.2154E-05	6.65267E-06	5.60733E-05	2.9605E-05	2.20391E-05	5.69771E-05	2.19201E-05
Central carbohydrate metabolism	0.00269871	0.001889065	0.001603785	0.000373075	0.00028428	0.000732351	0.000420906	0.00046067	0.001250304	0.000486679
Peptide and nickel transport system	0.000593676	0.000174323	0.000400595	3.83115E-05	4.25122E-05	0.000158025	8.07701E-05	9.29941E-05	0.000138513	0.000127085
Carbohydrate metabolism	0.000212401	0.000625329	0.00031866	6.97534E-05	8.63225E-05	0.000176716	0.000190502	0.000124709	0.000183702	0.000137784
Histidine metabolism	6.43408E-05	1.61665E-05	5.38306E-05	9.51183E-06	1.1845E-05	5.87434E-05	2.57435E-05	1.98889E-05	3.56107E-05	4.33184E-05
"Metallic cation iron-siderophore and vitamin B12 transport system"	0.000732731	0.001051046	0.000451183	0.000238324	9.08658E-05	0.000273812	0.000173125	0.000149436	0.000267694	0.000137262
Other amino acid metabolism	6.66089E-05	2.96386E-05	5.43711E-05	8.98339E-06	1.21695E-05	6.01999E-05	2.60653E-05	1.98889E-05	3.68387E-05	4.33184E-05
Photosynthesis	0.00041593	0.000151926	0.000159006	4.06895E-05	3.14785E-05	0.0001789	8.94586E-05	8.30496E-05	0.000179527	0.000111427
Repair system	8.87229E-06	6.02594E-05	9.18796E-06	1.2154E-05	1.29808E-06	3.08282E-05	3.53973E-06	6.18169E-06	2.25944E-05	4.69717E-06
RNA processing	0.00462313	0.000722215	0.002453509	0.000277957	0.000373036	0.001245992	0.000921938	0.000942573	0.001431305	0.001227788
Lipid metabolism	0.000137987	0.000415052	7.05851E-05	4.41243E-05	2.10938E-05	0.000108505	2.31691E-05	2.92958E-05	0.000112481	3.70555E-05
Mineral and organic ion transport system	0.000737567	0.000415529	0.000364924	6.6847E-05	5.38704E-05	0.000144674	8.7206E-05	8.08995E-05	0.000158161	0.00013126
Protein processing	0.00016257	0.000505848	0.000106797	7.9001E-05	3.6184E-05	0.000230604	8.36663E-05	8.97689E-05	0.000226681	7.80252E-05
Alkaloid and other secondary metabolite biosynthesis	6.19393E-05	4.65067E-05	5.40468E-06	5.81278E-06	2.10938E-06	6.06854E-06	3.21793E-07	8.06307E-07	5.64859E-06	5.21908E-07
Lysine metabolism	0.001906575	0.000104886	0.000642833	0.000124711	0.000108552	0.000534274	0.000244241	0.000266081	0.000451151	0.000357768
Cysteine and methionine metabolism	0.000953471	0.000273034	0.000369572	0.000117313	7.15568E-05	0.000241771	0.000100078	0.000115033	0.000208507	0.00013413
Ubiquitin system	0.001044962	0.001073471	0.000360925	0.00037149	6.24702E-05	0.000259248	0.000102974	0.000111002	0.0002451	8.84634E-05
RNA polymerase	0.000268003	8.08324E-05	0.000135117	1.05687E-05	2.19051E-05	5.09757E-05	3.53973E-05	2.68769E-05	6.50816E-05	7.04576E-05
Pathogenicity	0.000488209	0.000850424	0.000559276	0.000143206	0.000142627	0.000265802	0.000179239	0.000154811	0.000602435	0.00016414
