KEGG_ID	S1	S2	S3	S4	S5	A	B	C	D	E
Sterol biosynthesis	39.691823	300.932351	36.968025	43.067449	17.037329	29.371720	15.446083	12.363378	41.504884	9.916249
Glycosaminoglycan metabolism	66.642238	697.768997	100.959461	90.626594	27.259726	106.563511	56.313844	28.758292	159.634168	65.760391
Cofactor and vitamin biosynthesis	2571.563190	3029.728086	4045.836892	14612.283312	3432.291547	1948.728629	988.549304	924.028118	1796.743954	906.032055
Purine metabolism	2.334813	42.970288	1.945686	10.040264	1.135822	1.456449	0.000000	0.000000	1.473546	0.000000
Fatty acid metabolism	89.990369	56.582692	18.808294	14.003526	5.192329	127.196537	50.843356	45.153206	68.028715	33.141149
Spliceosome	254.694759	209.434546	135.657520	26.685965	43.648013	70.152289	45.694662	44.884437	86.448042	79.329996
Phosphate and amino acid transport system	1087.789441	1008.693133	334.766006	308.077577	81.779177	258.762421	84.631662	87.618722	250.011666	113.775915
Ribosome	1164.004413	362.735470	524.686534	71.338719	80.805616	300.028474	241.023252	251.567864	337.442071	343.937283
Glycan metabolism	167.339393	1768.040715	245.372565	186.273321	67.824794	313.136514	161.218490	73.911499	406.944332	180.058214
Phenylpropanoid and flavonoid biosynthesis	311.964390	388.753404	316.065807	26.421748	34.561438	301.242181	131.291704	155.886070	239.451251	160.225715
Unknown	636042.123498	695340.572512	532304.217014	615433.841133	523132.960286	582001.835611	517527.764334	461135.183862	607394.745826	458339.487497
Aromatics degradation	2039.025668	1276.618915	1528.119804	5045.496928	1176.062456	717.786567	339.813823	323.597980	640.255808	314.971397
Polyamine biosynthesis	675.528150	749.327730	708.986192	45.181188	70.583219	646.177829	288.326880	346.174583	508.864608	360.638335
Phosphotransferase system (PTS)	6239.020958	6470.073622	12521.891665	47803.282691	12547.100101	5497.851859	2865.570166	2915.875814	5298.135227	2824.043460
Other terpenoid biosynthesis	43.594297	70.475763	12.863143	14.796179	3.894247	29.128978	28.961405	22.576603	50.591752	26.356347
Methane metabolism	1177.146075	1470.644782	608.026731	631.479768	125.102670	340.080818	147.381374	167.980679	406.698741	180.580121
Carbon fixation	10161.306903	8175.272746	19028.372203	71536.881721	19049.356005	8079.407536	4217.102418	4413.725930	7936.519631	4222.495586
ABC-2 type and other transport systems	1131.050193	1447.068660	714.823249	257.876257	233.168012	555.149773	355.903493	287.045384	609.065747	308.969456
DNA polymerase	171.975665	105.839946	7.242274	35.405142	3.894247	10.437884	0.965380	6.181689	15.226644	2.087631
Replication system	645.976086	216.872251	342.764936	84.021157	48.029041	144.916666	55.348464	69.073655	129.917653	98.379633
Other carbohydrate metabolism	1471.365885	1047.677934	1342.955397	4904.404796	1153.670538	731.380090	354.294526	332.467359	669.235549	345.763961
Two-component regulatory system	3471.500237	2199.876674	1146.333064	396.326215	296.124998	679.433412	340.457410	427.074078	760.104229	473.631388
Proteasome	943.297862	1951.316993	537.982052	905.473291	95.571301	334.012281	143.519853	156.154839	457.290492	127.345519
Pyrimidine metabolism	214.135719	101.517657	187.866748	18.759441	19.146712	91.513539	62.749712	59.397968	72.940535	97.596771
Nucleotide sugar	11.140394	90.655801	13.403611	8.983394	5.192329	7.282245	5.792281	4.300305	11.788369	3.131447
Branched-chain amino acid metabolism	658.750850	230.119786	201.378453	73.980893	30.667192	119.914293	69.507373	64.235812	117.392511	95.509139
Nitrogen metabolism	1078.250062	174.351032	358.330420	77.415721	102.548492	299.785732	152.208275	174.162368	261.800035	219.723211
Aromatic amino acid metabolism	859.678197	444.943160	434.968812	143.205872	126.238492	312.893772	137.083986	137.072234	281.938499	182.406799
Bacterial secretion system	287.315434	379.940425	114.579260	86.399115	33.912397	132.294108	39.258794	40.852901	111.252735	32.619242
Saccharide and polyol transport system	283.513024	1353.016775	303.635038	175.968839	94.273218	338.138886	165.723597	150.779457	483.568732	128.128381
Serine and threonine metabolism	241.819932	46.731241	229.590894	32.498750	40.078287	166.035175	89.458563	77.943035	111.498326	131.520782
Sulfur metabolism	278.109599	259.870606	159.438121	24.572225	29.206849	136.177972	102.330299	103.744867	174.615220	132.303644
Metabolic capacity	15.276349	488.025716	48.101670	42.539014	45.757397	198.077051	111.018721	85.199800	265.483900	96.292001
Drug resistance	529.769101	490.607863	188.407216	175.968839	31.478493	126.953796	50.843356	54.560124	113.217463	43.057399
Arginine and proline metabolism	40.859230	78.362537	19.456855	7.398089	5.679110	25.487856	9.653802	5.375382	27.997377	7.045756
Aminoacyl tRNA	10.506659	113.305717	16.646421	11.889786	25.961644	19.904802	16.733256	22.576603	23.822330	19.832499
Sugar metabolism	73.046297	21.807912	60.208158	10.832917	12.980822	69.181323	27.030645	25.264294	44.206385	44.101215
ATP synthesis	896.167991	959.660414	414.755301	170.684490	87.458287	475.530566	252.607814	215.552807	520.652977	288.093142
Terpenoid backbone biosynthesis	220.606487	167.390463	67.234245	47.294928	14.603425	35.440257	15.767876	15.857376	34.137153	13.308651
Lipopolysaccharide metabolism	20.779837	121.192491	15.565484	12.154004	6.652671	56.073283	29.604992	22.039065	56.977118	21.920130
Central carbohydrate metabolism	2698.710443	1889.064805	1603.785353	373.075077	284.279998	732.351056	420.905758	460.670213	1250.303919	486.679085
Peptide and nickel transport system	593.676272	174.322965	400.595034	38.311534	42.512191	158.024706	80.770142	92.994104	138.513339	127.084565
Carbohydrate metabolism	212.401287	625.328557	318.660054	69.753414	86.322465	176.715800	190.501689	124.708856	183.702088	137.783676
Histidine metabolism	64.340779	16.166483	53.830633	9.511829	11.845000	58.743439	25.743471	19.888912	35.610699	43.318353
Metallic cation, iron-siderophore and vitamin B12 transport system	732.731072	1051.045952	451.182858	238.324164	90.865753	273.812393	173.124846	149.435612	267.694220	137.261769
Other amino acid metabolism	66.608883	29.638553	54.371101	8.983394	12.169520	60.199888	26.065265	19.888912	36.838654	43.318353
Photosynthesis	415.930283	151.925650	159.005746	40.689491	31.478493	178.900473	89.458563	83.049648	179.527041	111.427329
Repair system	8.872290	60.259444	9.187959	12.154004	1.298082	30.828168	3.539727	6.181689	22.594374	4.697171
RNA processing	4623.130140	722.215190	2453.509465	277.956785	373.036367	1245.992035	921.938072	942.573184	1431.304506	1227.788254
Lipid metabolism	137.987456	415.052006	70.585148	44.124319	21.093835	108.505443	23.169124	29.295830	112.480690	37.055458
Mineral and organic ion transport system	737.567470	415.529142	364.924132	66.847022	53.870411	144.673924	87.206010	80.899495	158.160621	131.259828
Protein processing	162.569703	505.848141	106.796517	79.001025	36.184041	230.604409	83.666282	89.768875	226.680518	78.025226
Alkaloid and other secondary metabolite biosynthesis	61.939257	46.506706	5.404682	5.812784	2.109384	6.068537	0.321793	0.806307	5.648594	0.521908
