KEGG_Class	S1	S2	S3	S4	S5	A	B	C	D	E
Sterol biosynthesis	7	34	0	0	0	0	0	0	16	8
Glycosaminoglycan metabolism	48	57	34	0	13	7	6	6	14	6
Cofactor and vitamin biosynthesis	3323	2728	10033	24231	10333	2186	992	1018	1355	991
Purine metabolism	0	10	0	0	0	0	0	0	2	1
Fatty acid metabolism	3	10	0	1	3	0	8	4	7	4
Spliceosome	2234	1453	1295	909	793	2534	587	605	1690	792
Phosphate and amino acid transport system	9622	7447	6339	3812	3424	10784	2898	2955	6997	3678
Ribosome	137	133	184	16	40	49	49	45	28	67
Glycan metabolism	46	134	24	0	17	21	23	21	27	4
Phenylpropanoid and flavonoid biosynthesis	10	16	16	3	5	3	3	2	5	4
Unknown	13647313	6262913	6186621	3238772	4896573	4831878	2982212	3242046	3113205	3191373
Aromatics degradation	1148	859	3256	8049	3370	701	287	291	442	299
Polyamine biosynthesis	12	31	31	6	11	6	6	5	5	8
Phosphotransferase system (PTS)	19814	18271	19982	26685	11430	5819	1873	2104	4706	1740
Other terpenoid biosynthesis	2	8	0	1	2	6	2	0	4	0
Methane metabolism	130	197	110	70	47	42	19	16	44	18
Carbon fixation	31024	28591	27410	30898	13021	8342	2422	2766	6953	2208
ABC-2 type and other transport systems	3773	3670	3634	1816	2815	3406	1451	1781	2505	1833
DNA polymerase	7	5	0	4	1	0	1	0	2	1
Replication system	58	49	67	7	9	18	15	20	7	19
Other carbohydrate metabolism	2059	3313	5008	8342	3807	1720	1172	1125	825	1110
Two-component regulatory system	23343	18125	17540	9241	10265	27898	7743	8219	15515	8049
Proteasome	110	193	120	82	52	44	21	9	53	14
Pyrimidine metabolism	31	9	7	1	7	2	0	0	3	6
Nucleotide sugar	0	0	0	0	0	0	0	0	0	0
Branched-chain amino acid metabolism	59	32	20	8	12	10	0	10	10	6
Nitrogen metabolism	40169	24431	24910	15592	14655	50781	11118	11485	27894	11476
Aromatic amino acid metabolism	120	176	143	52	109	49	42	61	76	61
Bacterial secretion system	53	64	47	4	12	26	15	10	25	2
Saccharide and polyol transport system	853	1359	1233	448	1036	478	473	619	470	541
Serine and threonine metabolism	11	9	12	1	6	5	1	3	5	0
Sulfur metabolism	54	102	49	0	16	17	20	18	9	10
Metabolic capacity	120	348	156	41	108	73	94	103	64	59
Drug resistance	44	13	15	4	10	7	1	2	13	0
Arginine and proline metabolism	4	9	3	0	0	5	2	0	1	0
Aminoacyl tRNA	8	13	9	6	13	5	7	7	4	7
Sugar metabolism	3	6	5	0	0	3	0	0	5	1
ATP synthesis	20159	12473	12532	7802	7355	25439	5606	5791	13983	5745
Terpenoid backbone biosynthesis	15	2	10	0	0	8	2	1	5	0
Lipopolysaccharide metabolism	10	44	9	0	4	12	11	9	10	4
Central carbohydrate metabolism	589	957	660	119	177	357	317	298	157	278
Peptide and nickel transport system	2313	1449	1327	904	785	2530	580	601	1681	791
Carbohydrate metabolism	736	1088	1156	448	1000	432	428	584	404	516
Histidine metabolism	3	3	2	0	0	1	0	0	1	0
Metallic cation, iron-siderophore and vitamin B12 transport system	808	1108	1206	452	1010	446	436	586	424	516
Other amino acid metabolism	4	7	6	1	4	2	0	0	4	2
Photosynthesis	64	79	22	3	8	13	18	17	8	5
Repair system	21	9	0	2	0	0	3	0	6	0
RNA processing	1512	465	2549	523	1384	938	691	654	1295	853
Lipid metabolism	29	22	0	8	3	14	9	6	22	3
Mineral and organic ion transport system	186	65	47	11	14	20	1	6	22	16
Protein processing	276	549	390	147	286	149	137	225	163	166
Alkaloid and other secondary metabolite biosynthesis	3	6	1	1	1	9	1	1	6	0
Lysine metabolism	80297	48806	49785	31158	29257	101543	22208	22941	55778	22922
Cysteine and methionine metabolism	20110	12223	12459	7789	7320	25393	5554	5738	13956	5731
Ubiquitin system	1469	2468	1685	734	1460	1081	855	1099	688	1013
RNA polymerase	65	5	20	0	5	10	0	0	10	0
Pathogenicity	18	59	17	10	6	2	6	4	4	1
