KEGG_ID	SS1	SS2	SS3	SS4	SS5	SA	SB	SC	SD	SE	KEGG_Class	TS1	TS2	TS3	TS4	TS5	TA	TB	TC	TD	TE
Sterol biosynthesis	3.96918E-05	0.000300932	3.6968E-05	4.30674E-05	1.70373E-05	2.93717E-05	1.54461E-05	1.23634E-05	4.15049E-05	9.91625E-06	Sterol biosynthesis	4.47196E-07	4.47192E-06	0	0	0	0	0	0	3.67115E-06	2.06274E-06
Glycosaminoglycan metabolism	6.66422E-05	0.000697769	0.000100959	9.06266E-05	2.72597E-05	0.000106564	5.63138E-05	2.87583E-05	0.000159634	6.57604E-05	Glycosaminoglycan metabolism	3.06649E-06	7.49704E-06	4.49085E-06	0	2.27064E-06	1.01715E-06	1.67571E-06	1.55498E-06	3.21226E-06	1.54705E-06
Cofactor and vitamin biosynthesis	0.002571563	0.003029728	0.004045837	0.014612283	0.003432292	0.001948729	0.000988549	0.000924028	0.001796744	0.000906032	Cofactor and vitamin biosynthesis	0.00021229	0.000358806	0.001325196	0.006044764	0.001804813	0.000317642	0.00027705	0.000263827	0.000310901	0.000255522
Purine metabolism	2.33481E-06	4.29703E-05	1.94569E-06	1.00403E-05	1.13582E-06	1.45645E-06	0	0	1.47355E-06	0	Purine metabolism	0	1.31527E-06	0	0	0	0	0	0	4.58894E-07	2.57842E-07
Fatty acid metabolism	8.99904E-05	5.65827E-05	1.88083E-05	1.40035E-05	5.19233E-06	0.000127197	5.08434E-05	4.51532E-05	6.80287E-05	3.31411E-05	Fatty acid metabolism	1.91655E-07	1.31527E-06	0	2.49464E-07	5.23995E-07	0	2.23427E-06	1.03665E-06	1.60613E-06	1.03137E-06
Spliceosome	0.000254695	0.000209435	0.000135658	2.6686E-05	4.3648E-05	7.01523E-05	4.56947E-05	4.48844E-05	8.6448E-05	7.933E-05	Spliceosome	0.000142719	0.000191109	0.000171048	0.000226763	0.000138509	0.000368209	0.00016394	0.000156793	0.000387765	0.000204211
Phosphate and amino acid transport system	0.001087789	0.001008693	0.000334766	0.000308078	8.17792E-05	0.000258762	8.46317E-05	8.76187E-05	0.000250012	0.000113776	Phosphate and amino acid transport system	0.000614703	0.000979482	0.000837279	0.000950957	0.000598053	0.001566997	0.000809366	0.000765825	0.001605441	0.000948345
Ribosome	0.001164004	0.000362735	0.000524687	7.13387E-05	8.08056E-05	0.000300028	0.000241023	0.000251568	0.000337442	0.000343937	Ribosome	8.75227E-06	1.74931E-05	2.43034E-05	3.99143E-06	6.9866E-06	7.12007E-06	1.36849E-05	1.16623E-05	6.42452E-06	1.72754E-05
Glycan metabolism	0.000167339	0.001768041	0.000245373	0.000186273	6.78248E-05	0.000313137	0.000161218	7.39115E-05	0.000406944	0.000180058	Glycan metabolism	2.93872E-06	1.76246E-05	3.17001E-06	0	2.9693E-06	3.05146E-06	6.42354E-06	5.44241E-06	6.19507E-06	1.03137E-06
Phenylpropanoid and flavonoid biosynthesis	0.000311964	0.000388753	0.000316066	2.64217E-05	3.45614E-05	0.000301242	0.000131292	0.000155886	0.000239451	0.000160226	Phenylpropanoid and flavonoid biosynthesis	6.38852E-07	2.10443E-06	2.11334E-06	7.48392E-07	8.73325E-07	4.35923E-07	8.37853E-07	5.18325E-07	1.14723E-06	1.03137E-06
