KEGG_Class	S1	S2	S3	S4	S5	A	B	C	D	E
Sterol biosynthesis	4.47196E-07	4.47192E-06	0	0	0	0	0	0	3.67115E-06	2.06274E-06
Glycosaminoglycan metabolism	3.06649E-06	7.49704E-06	4.49085E-06	0	2.27064E-06	1.01715E-06	1.67571E-06	1.55498E-06	3.21226E-06	1.54705E-06
Cofactor and vitamin biosynthesis	0.00021229	0.000358806	0.001325196	0.006044764	0.001804813	0.000317642	0.00027705	0.000263827	0.000310901	0.000255522
Purine metabolism	0	1.31527E-06	0	0	0	0	0	0	4.58894E-07	2.57842E-07
Fatty acid metabolism	1.91655E-07	1.31527E-06	0	2.49464E-07	5.23995E-07	0	2.23427E-06	1.03665E-06	1.60613E-06	1.03137E-06
Spliceosome	0.000142719	0.000191109	0.000171048	0.000226763	0.000138509	0.000368209	0.00016394	0.000156793	0.000387765	0.000204211
Phosphate and amino acid transport system	0.000614703	0.000979482	0.000837279	0.000950957	0.000598053	0.001566997	0.000809366	0.000765825	0.001605441	0.000948345
Ribosome	8.75227E-06	1.74931E-05	2.43034E-05	3.99143E-06	6.9866E-06	7.12007E-06	1.36849E-05	1.16623E-05	6.42452E-06	1.72754E-05
Glycan metabolism	2.93872E-06	1.76246E-05	3.17001E-06	0	2.9693E-06	3.05146E-06	6.42354E-06	5.44241E-06	6.19507E-06	1.03137E-06
Phenylpropanoid and flavonoid biosynthesis	6.38852E-07	2.10443E-06	2.11334E-06	7.48392E-07	8.73325E-07	4.35923E-07	8.37853E-07	5.18325E-07	1.14723E-06	1.03137E-06
Unknown	0.982934613	0.974511121	0.972846887	0.954986201	0.97807588	0.960266221	0.980948902	0.981373727	0.96365376	0.981542347
Aromatics degradation	7.33402E-05	0.000112982	0.000430065	0.002007936	0.000588621	0.000101861	8.01546E-05	7.54163E-05	0.000101416	7.70949E-05
Polyamine biosynthesis	7.66622E-07	4.07734E-06	4.0946E-06	1.49678E-06	1.92131E-06	8.71846E-07	1.67571E-06	1.29581E-06	1.14723E-06	2.06274E-06
Phosphotransferase system (PTS)	0.001265821	0.00240313	0.002639297	0.006656949	0.00199642	0.000845545	0.000523099	0.000545278	0.001079778	0.000448646
Other terpenoid biosynthesis	1.2777E-07	1.05222E-06	0	2.49464E-07	3.4933E-07	8.71846E-07	5.58569E-07	0	9.17788E-07	0
Methane metabolism	8.30507E-06	2.59108E-05	1.45292E-05	1.74625E-05	8.20925E-06	6.10292E-06	5.3064E-06	4.1466E-06	1.00957E-05	4.64116E-06
Carbon fixation	0.001981973	0.003760488	0.003620415	0.007707941	0.002274312	0.001212156	0.000676427	0.000716844	0.001595345	0.000569316
ABC-2 type and other transport systems	0.000241039	0.000482704	0.000479992	0.000453027	0.000491682	0.000494918	0.000405241	0.000461569	0.000574765	0.000472625
DNA polymerase	4.47196E-07	6.57635E-07	0	9.97856E-07	1.74665E-07	0	2.79284E-07	0	4.58894E-07	2.57842E-07
Replication system	3.70534E-06	6.44482E-06	8.84961E-06	1.74625E-06	1.57198E-06	2.61554E-06	4.18926E-06	5.18325E-06	1.60613E-06	4.89901E-06
Other carbohydrate metabolism	0.00013154	0.000435749	0.000661475	0.002081029	0.000664949	0.000249929	0.000327321	0.000291558	0.000189294	0.000286205
Two-component regulatory system	0.001491271	0.002383927	0.002316749	0.002305298	0.001792936	0.004053791	0.002162498	0.002130057	0.00355987	0.002075374
Proteasome	7.02737E-06	2.53847E-05	0.00001585	2.04561E-05	9.08258E-06	6.39353E-06	5.86497E-06	2.33246E-06	1.21607E-05	3.60979E-06
Pyrimidine metabolism	1.98044E-06	1.18374E-06	9.24586E-07	2.49464E-07	1.22265E-06	2.90615E-07	0	0	6.88341E-07	1.54705E-06
Nucleotide sugar	0	0	0	0	0	0	0	0	0	0
Branched-chain amino acid metabolism	3.76922E-06	4.20886E-06	2.64167E-06	1.99571E-06	2.09598E-06	1.45308E-06	0	2.59163E-06	2.29447E-06	1.54705E-06
Nitrogen metabolism	0.002566203	0.003213336	0.003290206	0.003889644	0.002559715	0.007378865	0.003105083	0.002976482	0.006400195	0.002959
Aromatic amino acid metabolism	7.66622E-06	2.31488E-05	0.000018888	1.29721E-05	1.90385E-05	7.12007E-06	1.17299E-05	1.58089E-05	0.000017438	1.57284E-05
Bacterial secretion system	3.38591E-06	8.41773E-06	6.20794E-06	9.97856E-07	2.09598E-06	0.000003778	4.18926E-06	2.59163E-06	5.73617E-06	5.15685E-07
Saccharide and polyol transport system	0.000054494	0.000178745	0.000162859	0.00011176	0.000180953	0.000069457	0.000132101	0.000160422	0.00010784	0.000139493
Serine and threonine metabolism	7.02737E-07	1.18374E-06	0.000001585	2.49464E-07	1.04799E-06	7.26538E-07	2.79284E-07	7.77488E-07	1.14723E-06	0
Sulfur metabolism	3.4498E-06	1.34158E-05	6.4721E-06	0	2.79464E-06	2.47023E-06	5.58569E-06	4.66493E-06	2.06502E-06	2.57842E-06
Metabolic capacity	7.66622E-06	4.57714E-05	2.06051E-05	0.000010228	1.88638E-05	1.06075E-05	2.62527E-05	2.66937E-05	1.46846E-05	1.52127E-05
Drug resistance	2.81095E-06	1.70985E-06	1.98126E-06	9.97856E-07	1.74665E-06	1.01715E-06	2.79284E-07	5.18325E-07	2.98281E-06	0
Arginine and proline metabolism	2.55541E-07	1.18374E-06	3.96251E-07	0	0	7.26538E-07	5.58569E-07	0	2.29447E-07	0
Aminoacyl tRNA	5.11081E-07	1.70985E-06	1.18875E-06	1.49678E-06	2.27064E-06	7.26538E-07	1.95499E-06	1.81414E-06	9.17788E-07	1.8049E-06
Sugar metabolism	1.91655E-07	7.89162E-07	6.60419E-07	0	0	4.35923E-07	0	0	1.14723E-06	2.57842E-07
ATP synthesis	0.001287861	0.001640536	0.001655273	0.001946319	0.001284661	0.00369648	0.001565668	0.00150081	0.003208357	0.001481305
Terpenoid backbone biosynthesis	9.58277E-07	2.63054E-07	1.32084E-06	0	0	1.16246E-06	5.58569E-07	2.59163E-07	1.14723E-06	0
Lipopolysaccharide metabolism	6.38852E-07	5.78719E-06	1.18875E-06	0	6.9866E-07	1.74369E-06	3.07213E-06	2.33246E-06	2.29447E-06	1.03137E-06
Central carbohydrate metabolism	3.76284E-05	0.000125871	8.71753E-05	2.96862E-05	3.09157E-05	5.18748E-05	8.85331E-05	7.72304E-05	3.60232E-05	7.16802E-05
Peptide and nickel transport system	0.000147766	0.000190583	0.000175275	0.000225516	0.000137112	0.000367628	0.000161985	0.000155757	0.0003857	0.000203953
Carbohydrate metabolism	4.70195E-05	0.000143101	0.000152689	0.00011176	0.000174665	6.27729E-05	0.000119534	0.000151351	9.26966E-05	0.000133047
Histidine metabolism	1.91655E-07	3.94581E-07	2.64167E-07	0	0	1.45308E-07	0	0	2.29447E-07	0
Metallic cation, iron-siderophore and vitamin B12 transport system	5.16192E-05	0.000145732	0.000159293	0.000112758	0.000176412	6.48072E-05	0.000121768	0.000151869	9.72855E-05	0.000133047
