KEGGID	SS1	SS2	SS3	SS4	SS5	SA	SB	SC	SD	SE	TS1	TS2	TS3	TS4	TS5	TA	TB	TC	TD	TE
Sterol biosynthesis	58.270265	487.632781	67.342338	115.991472	27.908767	80.832914	32.501133	33.864905	139.986885	21.398222	0.638852	1.709851	0.396251	0.000000	0.174665	0.435923	0.837853	0.000000	0.458894	0.000000
Glycosaminoglycan metabolism	63.840462	646.883868	112.309293	95.382509	29.369109	105.835287	60.818951	31.714752	175.351993	70.979470	0.638852	1.578324	0.792502	0.997856	0.698660	0.581230	1.396421	3.109951	0.458894	1.031370
Cofactor and vitamin biosynthesis	3734.833804	2825.092964	1545.739068	1082.763218	302.615408	1162.974447	619.130489	616.556283	1520.454049	743.718708	2290.027374	5981.979223	4398.388314	3727.741879	5129.735014	2886.971184	4752.859941	6249.705203	2785.716007	5799.650727
Purine metabolism	7811.417543	1203.083869	4742.392315	419.048917	485.807256	2397.800374	1533.023725	1607.776672	2221.370840	2132.776492	136.267042	366.302679	266.412890	206.057337	279.987920	185.121869	274.536451	303.220199	136.520964	288.783569
Fatty acid metabolism	1141.890397	1704.497454	359.411357	899.660507	102.061711	288.619624	117.132795	99.444562	412.838517	109.339698	19.612744	66.158078	20.076727	18.460343	13.623866	14.676067	12.288508	7.256552	19.502995	5.414692
Spliceosome	6240.655327	5560.849268	5059.755246	2729.894966	3823.338804	11939.239865	5839.262913	5373.500336	11557.513735	6466.438454	1307.026447	1932.131545	2455.832851	1703.091334	2032.925392	2229.309035	2266.391963	2013.174788	2001.236719	2142.413101
Phosphate and amino acid transport system	4.102600	89.533128	12.971237	15.060396	4.867808	10.680625	7.079455	4.569074	16.454599	9.655296	5605.411533	6893.592820	9742.496158	7732.638360	8717.353155	9124.735377	9883.032949	7861.955506	9140.250625	8633.339496
Ribosome	100220.519765	15511.095232	50076.000639	9931.670718	9695.051289	25901.972736	21816.304885	20783.644649	27743.435966	26652.529922	8659.377626	6862.947031	11308.216731	7606.908459	8787.743131	7854.892354	8992.116084	7709.308756	9602.356880	8625.088537
Glycan metabolism	404.556408	709.164123	189.488153	108.857600	37.157602	168.948072	72.403513	72.298884	194.753684	93.421508	42308.073653	53469.932008	54215.221197	65803.637336	39519.168343	114465.908151	48316.739658	43079.037843	111827.189699	52550.874254
Phenylpropanoid and flavonoid biosynthesis	26.983769	47.432911	17.943544	14.796179	6.977192	5.825796	3.861521	4.300305	11.297187	3.392401	0.319426	0.263054	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.458894	0.000000
Aromatics degradation	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Polyamine biosynthesis	463.960725	476.013121	492.042254	28.799705	46.081917	386.929925	194.363209	236.785565	332.775842	255.995808	2.363751	4.471918	3.962512	1.247320	1.222655	1.162461	1.117137	0.777488	3.441705	2.062740
Phosphotransferase system (PTS)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Other terpenoid biosynthesis	472.532825	256.053520	106.256049	146.376482	44.134794	91.756281	59.531778	43.271823	130.408835	48.015524	3.258143	7.891620	3.962512	4.240890	5.589279	2.034306	2.792843	1.554975	2.982811	2.578425
Methane metabolism	3158.935467	2835.000549	1364.033657	1224.912220	228.300204	806.872691	421.227552	432.180690	936.929768	532.346023	5662.077668	6406.811415	6830.446093	7697.962851	5089.387410	13707.010205	6294.788471	5606.722884	15115.968249	6969.224180
Carbon fixation	18817.126295	13981.341745	19569.921345	48110.567616	12680.315784	8545.471184	4694.643813	4890.253519	9017.856924	4935.421730	2940.058856	3096.408498	3499.558510	8611.001416	2935.943200	1222.327441	917.448872	850.830694	1521.921940	838.245877
