gene	S1	S2	S3	S4	S5	A	B	C	D	E
Skcos1	684	174	165	33	14	22	18	21	20	13
Skcos10	36	504	9	10	2	6	1	0	4	3
Skcos100	179	1311	72	6	18	315	19	26	208	34
Skcos1000	2229	11644	1013	319	171	122	99	111	369	127
Skcos10000	4666	2758	2661	43	236	544	397	508	658	584
Skcos10001	480	3759	120	13	43	90	32	24	150	38
Skcos10002	23	2835	154	4	4	203	280	270	285	380
Skcos10003	21	573	11	9	4	7	5	2	10	3
Skcos10004	19	265	12	5	3	32	6	6	27	15
Skcos10005	1404	477	200	13	30	58	14	9	34	13
Skcos10006	26	214	5	3	0	0	0	1	2	0
Skcos10007	18	46	0	0	0	1	0	0	1	0
Skcos10008	18	767	4	14	1	7	1	4	11	0
Skcos10009	187	1176	107	37	34	127	17	16	154	23
Skcos1001	493	806	158	12	11	24	4	5	5	11
Skcos10010	30	208	0	1	0	0	0	1	1	0
Skcos10011	77	275	7	8	0	28	1	1	22	4
Skcos10012	3	344	0	2	0	4	0	0	2	0
Skcos10013	2	160	2	3	1	63	0	1	19	0
Skcos10014	20	163	12	4	2	5	0	1	7	0
Skcos10015	32	101	22	2	1	0	0	0	0	0
Skcos10016	44	1234	5	7	3	11	2	3	18	0
Skcos10017	0	517	2	2	0	0	4	1	1	2
Skcos10018	58	778	24	20	19	33	3	7	48	8
Skcos10019	376	1373	48	17	14	58	13	9	72	32
Skcos1002	9812	15847	1064	290	101	95	97	131	166	159
Skcos10020	190	370	42	4	4	15	12	15	15	20
Skcos10021	0	0	0	0	0	0	0	0	0	0
Skcos10022	573	864	34	24	10	23	6	5	16	1
Skcos10023	9	225	3	4	0	3	0	1	1	0
Skcos10024	6	1509	13	7	12	7	0	0	9	1
Skcos10025	109	2794	68	56	20	105	15	33	166	36
Skcos10026	77	1711	170	21	62	102	27	42	794	60
Skcos10027	738	1145	909	329	681	361	391	401	294	397
Skcos10028	2	27	0	0	0	0	0	0	0	0
Skcos10029	224	2252	48	15	4	16	6	7	35	8
Skcos1003	2	30	1	0	0	0	0	0	3	0
Skcos10030	8	64	3	0	0	3	0	0	2	1
Skcos10031	11	46	2	1	0	1	0	0	2	0
Skcos10032	1	14	3	6	4	0	2	0	0	0
