*sample_name	description	bioproject_id	sample_title	*organism	host	isolation_source	*collection_date	*geo_loc_name	*lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id
NarBay_S1	5um size, eukaryotic fraction collected from surface at 0900 local	PRJNA275483	NB_S1	Eukaryotic phytoplankton assemblage		Whole seawater (>5um)	 2012-05-16 	USA: Narragansett Bay, RI	41.568611 N 71.391944 W			Peristaltic pump		2L	
NarBay_S2	5um size, eukaryotic fraction collected from surface at 0900 local	PRJNA275483	NB_S2	Eukaryotic phytoplankton assemblage		Whole seawater (>5um)	 2012-05-21	USA: Narragansett Bay, RI	41.568611 N 71.391944 W			Peristaltic pump		2L	
NarBay_S3	5um size, eukaryotic fraction collected from surface at 0900 local	PRJNA275483	NB_S3	Eukaryotic phytoplankton assemblage		Whole seawater (>5um)	 2012-05-30	USA: Narragansett Bay, RI	41.568611 N 71.391944 W			Peristaltic pump		2L	
NarBay_S4	5um size, eukaryotic fraction collected from surface at 0900 local	PRJNA275483	NB_S4	Eukaryotic phytoplankton assemblage		Whole seawater (>5um)	 2012-06-04 	USA: Narragansett Bay, RI	41.568611 N 71.391944 W			Peristaltic pump		2L	
NarBay_S5	5um size, eukaryotic fraction collected from surface at 0900 local	PRJNA275483	NB_S5	Eukaryotic phytoplankton assemblage		Whole seawater (>5um)	 2012-05-08	USA: Narragansett Bay, RI	41.568611 N 71.391944 W			Peristaltic pump		2L	
NarBay_A	5um size, eukaryotic fraction from incubation started on 2012-05-30 and run for 48 hours;Plus N treatment: Nitrate added	PRJNA275483	NB_A	Eukaryotic phytoplankton assemblage		Whole seawater (>5um); Plus N	 2012-06-01	USA: Narragansett Bay, RI	41.568611 N 71.391944 W			Peristaltic pump		2L	
NarBay_B	5um size, eukaryotic fraction from incubation started on 2012-05-30 and run for 48 hours; Minus N treatment: Silica, phosphate, iron, vitamins added	PRJNA275483	NB_B	Eukaryotic phytoplankton assemblage		Whole seawater (>5um); Minus N	 2012-06-01	USA: Narragansett Bay, RI	41.568611 N 71.391944 W			Peristaltic pump		2L	
NarBay_C	5um size, eukaryotic fraction from incubation started on 2012-05-30 and run for 48 hours; Plus P treatment: Phosphate added	PRJNA275483	NB_C	Eukaryotic phytoplankton assemblage		Whole seawater (>5um); Plus P	 2012-06-01	USA: Narragansett Bay, RI	41.568611 N 71.391944 W			Peristaltic pump		2L	
NarBay_D	5um size, eukaryotic fraction from incubation started on 2012-05-30 and run for 48 hours; Minus P treatment: Silica, nitrate iron, vitamins added	PRJNA275483	NB_D	Eukaryotic phytoplankton assemblage		Whole seawater (>5um); Minus P	 2012-06-01	USA: Narragansett Bay, RI	41.568611 N 71.391944 W			Peristaltic pump		2L	
NarBay_E	5um size, eukaryotic fraction from incubation started on 2012-05-30 and run for 48 hours; Control treatment No amendment	PRJNA275483	NB_E	Eukaryotic phytoplankton assemblage		Whole seawater (>5um); No ammendment	 2012-06-01	USA: Narragansett Bay, RI	41.568611 N 71.391944 W			Peristaltic pump		2L	
