	Description	MMETSP_ID	S1	S2	S3	S4	S5	+N	-N	+P	-P	Control	Up_-N_v_+N	Dn_-N_v_+N	Up_-P_v_+P	Dn_-P_v_+P
Throt9995	Locus8108v1rpkm12.73		90.7808095118	313.03424621	230.618198101	194.581989242	263.394749606	169.719264284	254.427982498	290.52123293	124.360273088	271.250280726	0	0	0	1
Throt9980	Locus8097v1rpkm12.74		63.1824212577	3.41970184935	24.1713231686	20.705519368	43.66623833	9.15437812493	47.4783282378	13.2172907042	8.48953893773	17.2754456356	1	0	0	0
Throt9951	Locus8074v1rpkm12.78		26.8956515162	84.0457492974	73.7027231043	41.1615746473	34.408995804	22.2320611605	59.7668367229	52.8691628168	31.8931327661	50.2792820737	1	0	0	0
Throt9939	Locus8064v1rpkm12.80		370.342260901	1058.52924937	765.689401139	656.589481646	890.965926885	540.689539728	814.113687136	1099.10842895	467.383535572	986.505298534	0	0	0	1
Throt9930	Locus8059v1rpkm12.81		4545.74841718	12006.1786121	8297.89636842	7049.10675641	9992.93130934	5524.15862183	9151.02884141	12337.9521285	5458.54408996	11592.8553914	0	0	0	1
Throt9910	Locus8044v1rpkm12.83		214.718016023	906.747098054	749.575185693	310.333326431	349.504571593	424.152853122	713.850629269	771.526949537	275.795291977	616.243508493	0	0	0	1
Throt99	Locus101v1rpkm1995.61		1413.52300581	1729.44844681	1839.26598428	2104.22958879	1312.95645411	3608.4233647	1354.80806048	1386.51971113	3455.01290066	1665.66237024	1	1	1	1
Throt984	Locus872v1rpkm107.29		1925.88197294	143.890531661	792.89865017	595.221315808	777.783037134	295.700944194	866.619132482	570.675963346	524.515838153	604.640597246	1	0	0	0
Throt9825	Locus7977v1rpkm12.97		194.977502203	860.186542105	572.186732057	215.786436787	180.254231826	325.343692408	548.793617572	681.597540236	170.708566748	454.834120913	0	0	0	1
Throt9812	Locus7969v2rpkm4.35		12.7131464411	83.3881143264	53.6259956637	23.948552522	64.8006976817	38.9424339283	61.7218267091	54.9424633194	21.5680178418	58.2723987111	0	0	0	1
Throt98	Locus100v1rpkm2056.50		5416.05592456	221.622985237	1443.01478479	2705.9369709	2439.89473293	1188.61608035	1254.26571833	500.183746257	1842.68884348	621.142515465	1	0	1	1
Throt979	Locus868v1rpkm107.95		289.016454772	21.0443190729	93.1190318791	86.3145747149	125.060106577	48.2421196425	220.913868448	82.4136949791	56.443961586	63.9449330989	1	0	0	0
