gID	Old Seq Name	Description
Throt1	Locus1v1rpkm115352.03	Locus1v1rpkm115352.03
Throt2	Locus2v1rpkm112634.34	Locus2v1rpkm112634.34
Throt3	Locus3v1rpkm108756.44	Locus3v1rpkm108756.44
Throt4	Locus4v1rpkm95958.08	Locus4v1rpkm95958.08
Throt5	Locus5v1rpkm84149.15	Locus5v1rpkm84149.15
Throt6	Locus6v1rpkm76032.33	Locus6v1rpkm76032.33
Throt7	Locus7v1rpkm60963.53	Locus7v1rpkm60963.53
Throt8	Locus8v1rpkm56725.10	Locus8v1rpkm56725.10
Throt9	Locus9v1rpkm53763.09	Locus9v1rpkm53763.09
Throt10	Locus10v1rpkm53276.45	Locus10v1rpkm53276.45
Throt11	Locus11v1rpkm51463.43	Locus11v1rpkm51463.43
Throt12	Locus12v1rpkm51081.18	Locus12v1rpkm51081.18
Throt13	Locus13v1rpkm48923.71	Locus13v1rpkm48923.71
Throt14	Locus14v1rpkm48785.61	Locus14v1rpkm48785.61
Throt15	Locus15v1rpkm44856.27	Locus15v1rpkm44856.27
Throt16	Locus16v1rpkm44790.87	Locus16v1rpkm44790.87
Throt17	Locus17v1rpkm42138.61	Locus17v1rpkm42138.61
Throt18	Locus18v1rpkm37345.18	Locus18v1rpkm37345.18
Throt19	Locus19v1rpkm31451.41	Locus19v1rpkm31451.41
Throt20	Locus20v1rpkm28892.32	Locus20v1rpkm28892.32
Throt21	Locus21v1rpkm28247.33	Locus21v1rpkm28247.33
Throt22	Locus22v1rpkm27373.66	Locus22v1rpkm27373.66
Throt23	Locus23v1rpkm26062.08	Locus23v1rpkm26062.08
Throt24	Locus24v1rpkm25180.99	Locus24v1rpkm25180.99
Throt25	Locus24v2rpkm3861.54	Locus24v2rpkm3861.54
Throt26	Locus25v1rpkm23611.46	Locus25v1rpkm23611.46
Throt27	Locus26v1rpkm20631.20	Locus26v1rpkm20631.20
Throt28	Locus27v1rpkm18945.22	Locus27v1rpkm18945.22
Throt29	Locus28v1rpkm18657.44	Locus28v1rpkm18657.44
Throt30	Locus30v1rpkm18286.42	Locus30v1rpkm18286.42
Throt31	Locus31v1rpkm17975.51	Locus31v1rpkm17975.51
Throt32	Locus32v1rpkm17357.92	Locus32v1rpkm17357.92
Throt33	Locus33v1rpkm16733.49	Locus33v1rpkm16733.49
Throt34	Locus35v1rpkm16315.01	Locus35v1rpkm16315.01
Throt35	Locus36v1rpkm16303.98	Locus36v1rpkm16303.98
Throt36	Locus37v1rpkm15364.81	Locus37v1rpkm15364.81
