geneID	S1	S2	S3	S4	S5	+N	-N	+P	-P	Control
Throt12372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt12373	0.0	0.00026343519494204424	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt12370	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0009095043201455207	0.0	0.0
Throt12371	0.0	0.0005268703898840885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt12376	0.0021538461538461538	0.003951527924130664	0.004524886877828055	0.005719313682358117	0.004769921436588103	0.0019758507135016466	0.0025062656641604013	0.002273760800363802	0.0017605633802816897	0.0019425019425019427
Throt12377	0.0006153846153846153	0.001053740779768177	0.00034806822137138876	0.0	0.0	0.0002195389681668496	0.0004177109440267335	0.0	0.0	0.0
Throt12374	0.0	0.0031612223393045315	0.0	0.00043994720633523974	0.0	0.0002195389681668496	0.0	0.0	0.001408450704225352	0.0
Throt12375	0.0012307692307692306	0.0	0.00034806822137138876	0.0	0.0005611672278338945	0.0	0.0	0.00045475216007276033	0.0	0.0
Throt17915	0.000923076923076923	0.0007903055848261329	0.0006961364427427775	0.00043994720633523974	0.0002805836139169473	0.0006586169045005489	0.0	0.0	0.001056338028169014	0.0
Throt17914	0.0007692307692307692	0.001053740779768177	0.00017403411068569438	0.00043994720633523974	0.0002805836139169473	0.0004390779363336992	0.0	0.0	0.001056338028169014	0.0
Throt17917	0.0	0.0005268703898840885	0.0	0.0	0.0	0.0002195389681668496	0.0	0.0	0.001056338028169014	0.0
Throt17916	0.00030769230769230765	0.0013171759747102212	0.00017403411068569438	0.00043994720633523974	0.0	0.0002195389681668496	0.0	0.0	0.000704225352112676	0.001554001554001554
Throt17911	0.03799999999999999	0.10273972602739725	0.05621301775147929	0.04531456225252969	0.027497194163860827	0.018221734357848518	0.04553049289891395	0.0482037289677126	0.028521126760563374	0.052059052059052056
Throt17910	0.0	0.0005268703898840885	0.0	0.00043994720633523974	0.0	0.0002195389681668496	0.0	0.0	0.0	0.0003885003885003885
Throt17913	0.00030769230769230765	0.0007903055848261329	0.00034806822137138876	0.0	0.0002805836139169473	0.0	0.0	0.0	0.0	0.001554001554001554
Throt17912	0.0	0.0	0.0005221023320570832	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt8345	0.0	0.0005268703898840885	0.00017403411068569438	0.0	0.0	0.0002195389681668496	0.0004177109440267335	0.0	0.000352112676056338	0.0
Throt8344	0.0	0.00026343519494204424	0.00034806822137138876	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt8347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt8346	0.00015384615384615382	0.0005268703898840885	0.00017403411068569438	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt8341	0.0006153846153846153	0.0005268703898840885	0.0010442046641141664	0.0	0.0002805836139169473	0.0002195389681668496	0.0	0.0	0.0	0.0
Throt8340	2.011230769230769	4.541886195995786	2.155064392620954	2.420589529256489	3.0563973063973062	1.6941822173435785	2.555137844611529	4.215552523874488	1.6123239436619718	3.2397047397047394
Throt8343	0.0	0.0005268703898840885	0.00017403411068569438	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt8342	0.033999999999999996	0.08904109589041095	0.06421858684302123	0.06379234491860976	0.08473625140291807	0.033589462129528	0.06850459482038429	0.07912687585266029	0.04999999999999998	0.06371406371406371
Throt12379	0.0	0.0005268703898840885	0.00017403411068569438	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt20889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt20888	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt17305	0.00015384615384615382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt20881	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt20880	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt20883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt20882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt20885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Throt20884	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
