geneID	S1	S2	S3	S4	S5	+N	-N	+P	-P	Control
Throt12372	0	0	0	0	0	0	0	0	0	0
Throt12373	0	1	0	0	0	0	0	0	0	0
Throt12370	0	0	0	0	0	0	0	2	0	0
Throt12371	0	2	0	0	0	0	0	0	0	0
Throt12376	14	15	26	13	17	9	6	5	5	5
Throt12377	4	4	2	0	0	1	1	0	0	0
Throt12374	0	12	0	1	0	1	0	0	4	0
Throt12375	8	0	2	0	2	0	0	1	0	0
Throt17915	6	3	4	1	1	3	0	0	3	0
Throt17914	5	4	1	1	1	2	0	0	3	0
Throt17917	0	2	0	0	0	1	0	0	3	0
Throt17916	2	5	1	1	0	1	0	0	2	4
Throt17911	247	390	323	103	98	83	109	106	81	134
Throt17910	0	2	0	1	0	1	0	0	0	1
Throt17913	2	3	2	0	1	0	0	0	0	4
Throt17912	0	0	3	0	0	0	0	0	0	0
Throt8345	0	2	1	0	0	1	1	0	1	0
Throt8344	0	1	2	0	0	0	0	0	0	0
Throt8347	0	0	0	0	0	0	0	0	0	0
Throt8346	1	2	1	0	0	0	0	0	0	0
Throt8341	4	2	6	0	1	1	0	0	0	0
Throt8340	13073	17241	12383	5502	10893	7717	6117	9270	4579	8339
Throt8343	0	2	1	0	0	0	0	0	0	0
Throt8342	221	338	369	145	302	153	164	174	142	164
Throt12379	0	2	1	0	0	0	0	0	0	0
Throt20889	0	0	0	0	0	0	0	0	0	0
Throt20888	0	0	0	0	0	0	0	0	0	0
Throt17305	1	0	0	0	0	0	0	0	0	0
Throt20881	0	0	0	0	0	0	0	0	0	0
Throt20880	0	0	0	0	0	0	0	0	0	0
Throt20883	0	0	0	0	0	0	0	0	0	0
Throt20882	0	0	0	0	0	0	0	0	0	0
Throt20885	0	0	0	0	0	0	0	0	0	0
Throt20884	0	0	0	0	0	0	0	0	0	0
Throt20887	0	0	0	0	0	0	0	0	0	0
Throt20886	0	0	0	0	0	0	0	0	0	0
Throt7050	0	7	1	1	0	0	0	0	0	0
Throt21874	0	0	0	0	0	0	0	0	0	0
Throt7051	1	7	0	0	0	2	0	1	5	0
Throt17300	1	0	0	0	0	0	0	0	0	0
Throt7052	0	1	3	3	2	0	0	0	0	1
Throt17301	1135	2106	1681	516	928	1066	835	948	460	927
Throt14460	0	8	0	0	0	0	0	0	0	0
Throt14461	5	3	1	0	1	0	1	1	3	0
Throt14462	0	11	0	0	0	2	0	0	0	0
Throt14463	0	1	0	0	0	1	0	0	0	0
