	KEGG	Definition
K12185	['Skcos10018']	ESCRT-I complex subunit VPS37
K13963	['Skcos10026']	serpin B
K03144	['Skcos10099']	transcription initiation factor TFIIH subunit 4
K07359	['Skcos10109', 'Skcos9501']	calcium/calmodulin-dependent protein kinase kinase [EC:2.7.11.17]
K00616	['Skcos10178']	transaldolase [EC:2.2.1.2]
K04648	['Skcos10197']	dynactin 1
K17430	['Skcos10241', 'Skcos1071']	large subunit ribosomal protein L49, mitochondrial
K02357	['Skcos10261']	elongation factor Ts
K17943	['Skcos10292', 'Skcos9964']	pumilio RNA-binding family
K17960	['Skcos10331', 'Skcos6748']	cytochrome P450, family 49, subfamily A
K00685	['Skcos10340']	arginine-tRNA-protein transferase [EC:2.3.2.8]
K03083	['Skcos10395']	glycogen synthase kinase 3 beta [EC:2.7.11.26]
K12385	['Skcos10400']	Niemann-Pick C1 protein
K11320	['Skcos1041', 'Skcos9015']	E1A-binding protein p400 [EC:3.6.4.-]
K01120	['Skcos10417', 'Skcos22150', 'Skcos575']	3',5'-cyclic-nucleotide phosphodiesterase [EC:3.1.4.17]
K13989	['Skcos10440']	Derlin-2/3
K01873	['Skcos10452', 'Skcos11855']	valyl-tRNA synthetase [EC:6.1.1.9]
K02726	['Skcos10464', 'Skcos14489']	20S proteasome subunit alpha 2 [EC:3.4.25.1]
K05658	['Skcos10565', 'Skcos18123', 'Skcos22262', 'Skcos730']	ATP-binding cassette, subfamily B (MDR/TAP), member 1 [EC:3.6.3.44]
K00036	['Skcos10576']	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49]
K00454	['Skcos10622', 'Skcos25725', 'Skcos4061', 'Skcos9787']	lipoxygenase [EC:1.13.11.12]
K03260	['Skcos10638', 'Skcos22341']	translation initiation factor 4G
K15900	['Skcos10647']	tRNA threonylcarbamoyladenosine biosynthesis protein
K03627	['Skcos10660']	putative transcription factor
K03939	['Skcos10662']	NADH dehydrogenase (ubiquinone) Fe-S protein 6
K01866	['Skcos10677']	tyrosyl-tRNA synthetase [EC:6.1.1.1]
K15542	['Skcos10679', 'Skcos12583', 'Skcos16819']	polyadenylation factor subunit 2
K00488	['Skcos10691']	cholestanetriol 26-monooxygenase [EC:1.14.13.15]
K01057	['Skcos10726']	6-phosphogluconolactonase [EC:3.1.1.31]
K17302	['Skcos1079']	coatomer, subunit beta'
K00262	['Skcos10819', 'Skcos14653']	glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
K01649	['Skcos10845', 'Skcos5605']	2-isopropylmalate synthase [EC:2.3.3.13]
K10686	['Skcos10893']	ubiquitin-activating enzyme E1 C [EC:6.3.2.19]
K00213	['Skcos1098']	7-dehydrocholesterol reductase [EC:1.3.1.21]
K09647	['Skcos10987']	mitochondrial inner membrane protease subunit 1 [EC:3.4.21.-]
K15340	['Skcos11020']	DNA cross-link repair 1A protein
K11584	['Skcos11034']	serine/threonine-protein phosphatase 2A regulatory subunit B'
K00910	['Skcos11062']	beta-adrenergic-receptor kinase [EC:2.7.11.15]
K00889	['Skcos11067']	1-phosphatidylinositol-4-phosphate 5-kinase [EC:2.7.1.68]
K07304	['Skcos111', 'Skcos13108', 'Skcos21329', 'Skcos8120']	peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]
K11599	['Skcos11107']	proteasome maturation protein
K07025	['Skcos11115']	putative hydrolase of the HAD superfamily
K14326	['Skcos11117']	regulator of nonsense transcripts 1 [EC:3.6.4.-]
K10591	['Skcos11130', 'Skcos26670']	E3 ubiquitin-protein ligase NEDD4 [EC:6.3.2.19]
K08874	['Skcos1114', 'Skcos16546']	transformation/transcription domain-associated protein
K08592	['Skcos11151']	sentrin-specific protease 1 [EC:3.4.22.68]
K09969	['Skcos11184']	general L-amino acid transport system substrate-binding protein
K13348	['Skcos11187', 'Skcos4534']	protein Mpv17
K01414	['Skcos11213']	oligopeptidase A [EC:3.4.24.70]
K00049	['Skcos11235']	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.791.1.1.81]
K03106	['Skcos11245', 'Skcos21642']	signal recognition particle subunit SRP54
K01858	['Skcos11257']	myo-inositol-1-phosphate synthase [EC:5.5.1.4]
K01876	['Skcos11263']	aspartyl-tRNA synthetase [EC:6.1.1.12]
K06709	['Skcos11271']	jumonji domain-containing protein 2 [EC:1.14.11.-]
K08142	['Skcos11303', 'Skcos25264', 'Skcos853']	MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 3
K02355	['Skcos11318']	elongation factor G
K12849	['Skcos11321']	pre-mRNA-splicing factor 38A
K08246	['Skcos11330']	cycloeucalenol cycloisomerase [EC:5.5.1.9]
K13525	['Skcos11350']	transitional endoplasmic reticulum ATPase
K14950	['Skcos11373', 'Skcos14978', 'Skcos20446', 'Skcos25978']	cation-transporting ATPase 13A1 [EC:3.6.3.-]
K15296	['Skcos11417']	alpha-soluble NSF attachment protein
K00726	['Skcos11439']	alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase [EC:2.4.1.101]
K11583	['Skcos11513']	serine/threonine-protein phosphatase 2A regulatory subunit B''
K12811	['Skcos11515']	ATP-dependent RNA helicase DDX46/PRP5 [EC:3.6.4.13]
K12571	['Skcos11535', 'Skcos12087', 'Skcos20181']	PAB-dependent poly(A)-specific ribonuclease subunit 2 [EC:3.1.13.4]
K06638	['Skcos11549']	mitotic spindle assembly checkpoint protein MAD1
K00281	['Skcos11612']	glycine dehydrogenase [EC:1.4.4.2]
K00383	['Skcos11618', 'Skcos9017']	glutathione reductase (NADPH) [EC:1.8.1.7]
K01872	['Skcos11631', 'Skcos12618', 'Skcos21964']	alanyl-tRNA synthetase [EC:6.1.1.7]
K01183	['Skcos11653', 'Skcos18986', 'Skcos7619', 'Skcos8042', 'Skcos9073', 'Skcos9319']	chitinase [EC:3.2.1.14]
K06672	['Skcos11768', 'Skcos3547']	cohesin loading factor subunit SCC2
K01948	['Skcos1182']	carbamoyl-phosphate synthase (ammonia) [EC:6.3.4.16]
K13448	['Skcos11897']	calcium-binding protein CML
K05955	['Skcos11924', 'Skcos13158', 'Skcos2656']	protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha [EC:2.5.1.582.5.1.59]
K07204	['Skcos11925', 'Skcos8852']	regulatory associated protein of mTOR
K00630	['Skcos12', 'Skcos12562']	glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15]
K06867	['Skcos12019']	COG:&nbsp;COG0666
K01062	['Skcos12043']	platelet-activating factor acetylhydrolase [EC:3.1.1.47]
K01897	['Skcos12046']	long-chain acyl-CoA synthetase [EC:6.2.1.3]
K11805	['Skcos12061']	WD repeat-containing protein 68
K09611	['Skcos12062']	probable aminopeptidase NPEPL1 [EC:3.4.11.-]
K08333	['Skcos12073', 'Skcos12101']	phosphoinositide-3-kinase, regulatory subunit 4 [EC:2.7.11.1]
K00761	['Skcos12151']	uracil phosphoribosyltransferase [EC:2.4.2.9]
K12397	['Skcos12179', 'Skcos16595']	AP-3 complex subunit beta
K05857	['Skcos12200']	phosphatidylinositol phospholipase C, delta [EC:3.1.4.11]
K14376	['Skcos12202']	poly(A) polymerase [EC:2.7.7.19]
K12854	['Skcos12203']	pre-mRNA-splicing helicase BRR2 [EC:3.6.4.13]
K08678	['Skcos12218', 'Skcos6094']	UDP-glucuronate decarboxylase [EC:4.1.1.35]
K00763	['Skcos12235']	nicotinate phosphoribosyltransferase [EC:6.3.4.21]
K17267	['Skcos12245']	coatomer protein complex, subunit gamma
K03010	['Skcos12262', 'Skcos20618']	DNA-directed RNA polymerase II subunit RPB2 [EC:2.7.7.6]
K07198	['Skcos12266']	5'-AMP-activated protein kinase, catalytic alpha subunit [EC:2.7.11.11]
K15196	['Skcos12271']	transcription factor IIIB 90 kDa subunit
K05283	['Skcos12287']	phosphatidylinositol glycan, class W [EC:2.3.-.-]
K07910	['Skcos12293']	Ras-related protein Rab-18
K00814	['Skcos12296']	alanine transaminase [EC:2.6.1.2]
K00752	['Skcos12297']	hyaluronan synthase [EC:2.4.1.212]
K08860	['Skcos12309']	eukaryotic translation initiation factor 2-alpha kinase 3 [EC:2.7.11.1]
K10839	['Skcos1236', 'Skcos14803', 'Skcos25737']	UV excision repair protein RAD23
K17506	['Skcos12361']	protein phosphatase 1L [EC:3.1.3.16]
K03018	['Skcos12380']	DNA-directed RNA polymerase III subunit RPC1 [EC:2.7.7.6]
K01768	['Skcos12439']	adenylate cyclase [EC:4.6.1.1]
K12603	['Skcos12447', 'Skcos6412']	CCR4-NOT transcription complex subunit 6 [EC:3.1.13.4]
K01809	['Skcos12454']	mannose-6-phosphate isomerase [EC:5.3.1.8]
K14574	['Skcos12530', 'Skcos19340', 'Skcos20444']	ribosome maturation protein SDO1
K04488	['Skcos1255']	nitrogen fixation protein NifU and related proteins
K14572	['Skcos12593', 'Skcos13152', 'Skcos18704', 'Skcos4911']	midasin
K04523	['Skcos1265']	ubiquilin
K09518	['Skcos12658']	DnaJ homolog subfamily B member 12
K02575	['Skcos1268', 'Skcos1359']	MFS transporter, NNP family, nitrate/nitrite transporter
K00106	['Skcos12691']	xanthine dehydrogenase/oxidase [EC:1.17.1.41.17.3.2]
K01256	['Skcos12721', 'Skcos457']	aminopeptidase N [EC:3.4.11.2]
K13993	['Skcos12733']	HSP20 family protein
K14306	['Skcos12772']	nuclear pore complex protein Nup62
K01836	['Skcos12795']	phosphoacetylglucosamine mutase [EC:5.4.2.3]
K10529	['Skcos12807']	alpha-dioxygenase [EC:1.-.-.-]
K11865	['Skcos12825', 'Skcos20470']	protein MYSM1
K13789	['Skcos12831']	geranylgeranyl diphosphate synthase, type II [EC:2.5.1.12.5.1.102.5.1.29]
K06633	['Skcos12834', 'Skcos25655']	membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase [EC:2.7.11.1]
K14401	['Skcos12837']	cleavage and polyadenylation specificity factor subunit 1
K12184	['Skcos12851']	ESCRT-I complex subunit VPS28
K06634	['Skcos12854']	cyclin H
