Thaps_23858	Skcos2187
Thaps_24435	Skcos3023
Thaps_24435	Throt579
Thaps_269393	Skcos12218
Thaps_269393	Skcos2374
Thaps_269393	Skcos5166
Thaps_269393	Skcos6094
Thaps_269393	Throt13168
Thaps_269393	Throt1708
Thaps_269393	Throt5474
Thaps_269393	Throt9305
Thaps_32319	Skcos10831
Thaps_32319	Skcos19239
Thaps_32319	Skcos6647
Thaps_32319	Throt12728
Thaps_32319	Throt4648
Thaps_38190	Skcos10095
Thaps_38190	Skcos10851
Thaps_38190	Skcos15230
Thaps_38190	Skcos27280
Thaps_38190	Throt14735
Thaps_38190	Throt14736
Thaps_38190	Throt15514
Thaps_38190	Throt15515
Thaps_38190	Throt16666
Thaps_3837	Skcos12716
Thaps_3837	Skcos14200
Thaps_3837	Skcos7940
Thaps_3837	Throt18481
Thaps_3837	Throt8806
Thaps_43150	Skcos10095
Thaps_43150	Skcos10851
Thaps_43150	Skcos15230
Thaps_43150	Skcos1682
Thaps_43150	Skcos27280
Thaps_43150	Skcos5832
Thaps_43150	Throt14735
Thaps_43150	Throt14736
Thaps_43150	Throt15514
Thaps_43150	Throt16666
Thaps_6820	Skcos11996
Thaps_260835	Throt20293
Thaps_260835	Throt4812
