	KEGG
Throt44	K03665
Throt53	K09969
Throt54	K01001
Throt81	K02703
Throt94	K03231
Throt111	K05601
Throt112	K03235
Throt120	K09515
Throt133	K05863
Throt138	K02639
Throt156	K02641
Throt169	K00134
Throt175	K02969
Throt178	K02865
Throt179	K03883
Throt186	K02951
Throt193	K08906
Throt207	K00940
Throt213	K02980
Throt219	K01623
Throt221	K02924
Throt222	K06630
Throt227	K02978
Throt228	K00672
Throt230	K02905
Throt235	K02719
Throt237	K02896
Throt253	K03283
Throt254	K00927
Throt256	K02719
Throt257	K02929
Throt263	K02920
Throt269	K02880
Throt270	K02943
Throt273	K02976
Throt275	K02918
Throt276	K02714
Throt277	K03040
Throt283	K02894
Throt285	K00958
Throt287	K02934
Throt288	K02882
Throt289	K02962
Throt297	K02716
Throt298	K04079
Throt299	K02132
Throt302	K10960
Throt311	K03263
Throt312	K02981
Throt314	K02989
Throt318	K02893
Throt324	K02636
Throt325	K02879
Throt329	K00873
Throt330	K09487
Throt335	K02115
Throt337	K03704
Throt340	K02921
Throt347	K02875
Throt349	K08901
Throt360	K01601
Throt363	K02639
Throt365	K02912
Throt369	K02900
Throt374	K15102
Throt375	K02898
Throt378	K02984
Throt380	K02705
Throt384	K02947
Throt385	K02868
Throt388	K02949
Throt395	K02137
Throt404	K02974
Throt407	K02942
Throt413	K02955
Throt417	K02872
Throt420	K02903
Throt422	K02956
Throt423	K02956
Throt425	K06689
Throt428	K02987
Throt434	K02973
Throt438	K02910
Throt439	K02355
Throt448	K02995
Throt450	K02864
Throt452	K04802
Throt459	K02938
Throt460	K02938
Throt462	K02971
Throt467	K02932
Throt469	K00615
Throt474	K02953
Throt476	K02870
Throt477	K02870
Throt478	K01251
Throt480	K02943
Throt485	K02927
Throt491	K02873
Throt495	K02915
Throt498	K03935
Throt500	K02866
Throt504	K01624
Throt505	K02997
Throt507	K02877
Throt510	K02937
Throt512	K03094
Throt513	K08770
Throt514	K00134
Throt515	K00507
Throt521	K02964
Throt529	K02941
Throt532	K03257
Throt538	K03257
Throt541	K17267
Throt544	K01365
Throt547	K02962
Throt548	K00053
Throt553	K02922
Throt557	K02358
Throt575	K00057
Throt576	K02078
Throt579	K14683
Throt585	K02357
Throt590	K10256
Throt591	K02690
Throt593	K02889
Throt594	K05692
Throt595	K05692
Throt598	K15040
Throt601	K08504
Throt603	K02936
Throt611	K00799
Throt617	K03234
Throt621	K15283
Throt631	K13812
Throt649	K01845
Throt651	K01507
Throt652	K01507
Throt661	K06959
Throt679	K08910
Throt680	K08738
Throt684	K03671
Throt692	K05460
Throt695	K02155
Throt704	K13348
Throt712	K02917
Throt725	K04649
Throt749	K12275
Throt754	K02993
Throt755	K01689
Throt757	K02991
Throt758	K02991
Throt760	K11262
Throt767	K02925
Throt769	K11295
Throt777	K13289
Throt778	K13199
Throt781	K02638
Throt782	K02638
Throt784	K07874
Throt794	K08959
Throt795	K14411
Throt796	K17268
Throt804	K03627
Throt813	K07735
Throt822	K02136
Throt823	K02136
Throt843	K00012
Throt844	K00012
Throt859	K02133
Throt896	K03626
Throt904	K02111
Throt911	K02704
Throt927	K02267
Throt934	K02983
Throt935	K02983
Throt936	K01166
Throt951	K02930
Throt952	K02930
Throt959	K01803
Throt965	K03885
Throt968	K08262
Throt971	K02977
Throt995	K00033
Throt1017	K01312
Throt1019	K02958
Throt1020	K02958
Throt1024	K05765
Throt1027	K02891
Throt1030	K01275
Throt1042	K02112
Throt1045	K13348
Throt1053	K02977
Throt1055	K08515
Throt1063	K13783
Throt1067	K01358
Throt1077	K00855
Throt1092	K09565
Throt1105	K00413
Throt1107	K04507
Throt1115	K01312
Throt1121	K13525
Throt1127	K01586
Throt1128	K09503
Throt1134	K02998
Throt1143	K02891
Throt1149	K09415
Throt1150	K09419
Throt1153	K09486
Throt1155	K03322
Throt1159	K03704
Throt1165	K08493
Throt1177	K08568
Throt1184	K01783
Throt1186	K07936
Throt1198	K06119
Throt1209	K08907
Throt1210	K08916
Throt1212	K03839
Throt1213	K03262
Throt1214	K03262
Throt1223	K02985
Throt1224	K02985
Throt1227	K03671
Throt1229	K00616
Throt1231	K00616
Throt1233	K03801
Throt1234	K01365
Throt1240	K03259
Throt1247	K00218
Throt1251	K01897
Throt1258	K04488
Throt1260	K04488
Throt1270	K00434
Throt1272	K03238
Throt1273	K09540
Throt1274	K14753
Throt1278	K03236
Throt1279	K03236
Throt1294	K00033
Throt1302	K00030
Throt1305	K07937
Throt1306	K07937
Throt1308	K01915
Throt1311	K07877
Throt1317	K07342
Throt1323	K08967
Throt1324	K08967
Throt1355	K11684
Throt1376	K02908
Throt1396	K02727
Throt1398	K03955
Throt1399	K03264
Throt1402	K02152
Throt1403	K03940
Throt1404	K00331
Throt1411	K02150
Throt1426	K01590
Throt1452	K08679
Throt1459	K16671
Throt1469	K07304
Throt1485	K04079
Throt1495	K01711
Throt1500	K00432
Throt1503	K00417
Throt1504	K00417
Throt1512	K03113
Throt1514	K08341
Throt1515	K08341
Throt1517	K02135
Throt1520	K00927
Throt1539	K11594
Throt1563	K03943
Throt1577	K02883
Throt1578	K02883
Throt1579	K03526
Throt1597	K06269
Throt1600	K03242
Throt1610	K09577
Throt1611	K10956
Throt1621	K08076
Throt1631	K01312
Throt1633	K00574
Throt1637	K03403
Throt1643	K02144
Throt1654	K11599
Throt1663	K00615
Throt1670	K02145
Throt1677	K03687
Throt1678	K03687
Throt1686	K13448
Throt1687	K04077
Throt1702	K00411
Throt1703	K01534
Throt1705	K03686
Throt1706	K01628
Throt1708	K06118
Throt1709	K10875
Throt1710	K03921
Throt1713	K00761
Throt1723	K13126
Throt1731	K08819
Throt1739	K08057
Throt1740	K08057
