MMETSP_ID	gID	Description
MMETSP0013_2-20120614|24114 	Skcos1	CAMNT_0000301489
MMETSP0013_2-20120614|12570 	Skcos2	CAMNT_0000278401
MMETSP0013_2-20120614|12571 	Skcos3	CAMNT_0000278403
MMETSP0013_2-20120614|12314 	Skcos4	CAMNT_0000277889
MMETSP0013_2-20120614|12318 	Skcos5	CAMNT_0000277897
MMETSP0013_2-20120614|12320 	Skcos6	CAMNT_0000277901
MMETSP0013_2-20120614|12321 	Skcos7	CAMNT_0000277903
MMETSP0013_2-20120614|12420 	Skcos8	CAMNT_0000278101
MMETSP0013_2-20120614|12873 	Skcos9	CAMNT_0000279007
MMETSP0013_2-20120614|12877 	Skcos10	CAMNT_0000279015
MMETSP0013_2-20120614|12878 	Skcos11	CAMNT_0000279017
MMETSP0013_2-20120614|12879 	Skcos12	CAMNT_0000279019
MMETSP0013_2-20120614|13000 	Skcos13	CAMNT_0000279261
MMETSP0013_2-20120614|12997 	Skcos14	CAMNT_0000279255
MMETSP0013_2-20120614|13389 	Skcos15	CAMNT_0000280039
MMETSP0013_2-20120614|13390 	Skcos16	CAMNT_0000280041
MMETSP0013_2-20120614|13095 	Skcos17	CAMNT_0000279451
MMETSP0013_2-20120614|13096 	Skcos18	CAMNT_0000279453
MMETSP0013_2-20120614|13100 	Skcos19	CAMNT_0000279461
MMETSP0013_2-20120614|13101 	Skcos20	CAMNT_0000279463
MMETSP0013_2-20120614|13102 	Skcos21	CAMNT_0000279465
MMETSP0013_2-20120614|12805 	Skcos22	CAMNT_0000278871
MMETSP0013_2-20120614|12807 	Skcos23	CAMNT_0000278875
MMETSP0013_2-20120614|12809 	Skcos24	CAMNT_0000278879
MMETSP0013_2-20120614|12810 	Skcos25	CAMNT_0000278881
MMETSP0013_2-20120614|13256 	Skcos26	CAMNT_0000279773
MMETSP0013_2-20120614|13257 	Skcos27	CAMNT_0000279775
MMETSP0013_2-20120614|13352 	Skcos28	CAMNT_0000279965
MMETSP0013_2-20120614|13356 	Skcos29	CAMNT_0000279973
MMETSP0013_2-20120614|13357 	Skcos30	CAMNT_0000279975
MMETSP0013_2-20120614|13469 	Skcos31	CAMNT_0000280199
MMETSP0013_2-20120614|13472 	Skcos32	CAMNT_0000280205
MMETSP0013_2-20120614|13506 	Skcos33	CAMNT_0000280273
MMETSP0013_2-20120614|13508 	Skcos34	CAMNT_0000280277
MMETSP0013_2-20120614|13515 	Skcos35	CAMNT_0000280291
MMETSP0013_2-20120614|13204 	Skcos36	CAMNT_0000279669
MMETSP0013_2-20120614|13206 	Skcos37	CAMNT_0000279673
MMETSP0013_2-20120614|13208 	Skcos38	CAMNT_0000279677
MMETSP0013_2-20120614|13297 	Skcos39	CAMNT_0000279855
MMETSP0013_2-20120614|13514 	Skcos40	CAMNT_0000280289
MMETSP0013_2-20120614|13516 	Skcos41	CAMNT_0000280293
MMETSP0013_2-20120614|13517 	Skcos42	CAMNT_0000280295
MMETSP0013_2-20120614|13522 	Skcos43	CAMNT_0000280305
MMETSP0013_2-20120614|13604 	Skcos44	CAMNT_0000280469
MMETSP0013_2-20120614|13608 	Skcos45	CAMNT_0000280477
MMETSP0013_2-20120614|13580 	Skcos46	CAMNT_0000280421
MMETSP0013_2-20120614|13665 	Skcos47	CAMNT_0000280591
MMETSP0013_2-20120614|13663 	Skcos48	CAMNT_0000280587
MMETSP0013_2-20120614|13782 	Skcos49	CAMNT_0000280825
MMETSP0013_2-20120614|14220 	Skcos50	CAMNT_0000281701
MMETSP0013_2-20120614|14226 	Skcos51	CAMNT_0000281713
MMETSP0013_2-20120614|14229 	Skcos52	CAMNT_0000281719
MMETSP0013_2-20120614|14231 	Skcos53	CAMNT_0000281723
MMETSP0013_2-20120614|14233 	Skcos54	CAMNT_0000281727
MMETSP0013_2-20120614|14065 	Skcos55	CAMNT_0000281391
MMETSP0013_2-20120614|14149 	Skcos56	CAMNT_0000281559
MMETSP0013_2-20120614|14150 	Skcos57	CAMNT_0000281561
MMETSP0013_2-20120614|14152 	Skcos58	CAMNT_0000281565
MMETSP0013_2-20120614|14028 	Skcos59	CAMNT_0000281317
MMETSP0013_2-20120614|14035 	Skcos60	CAMNT_0000281331
MMETSP0013_2-20120614|14037 	Skcos61	CAMNT_0000281335
MMETSP0013_2-20120614|14043 	Skcos62	CAMNT_0000281347
MMETSP0013_2-20120614|14047 	Skcos63	CAMNT_0000281355
MMETSP0013_2-20120614|14053 	Skcos64	CAMNT_0000281367
MMETSP0013_2-20120614|14055 	Skcos65	CAMNT_0000281371
MMETSP0013_2-20120614|14058 	Skcos66	CAMNT_0000281377
MMETSP0013_2-20120614|13927 	Skcos67	CAMNT_0000281115
MMETSP0013_2-20120614|13928 	Skcos68	CAMNT_0000281117
MMETSP0013_2-20120614|13922 	Skcos69	CAMNT_0000281105
MMETSP0013_2-20120614|14095 	Skcos70	CAMNT_0000281451
MMETSP0013_2-20120614|14106 	Skcos71	CAMNT_0000281473
MMETSP0013_2-20120614|14109 	Skcos72	CAMNT_0000281479
MMETSP0013_2-20120614|14111 	Skcos73	CAMNT_0000281483
MMETSP0013_2-20120614|14117 	Skcos74	CAMNT_0000281495
MMETSP0013_2-20120614|14118 	Skcos75	CAMNT_0000281497
MMETSP0013_2-20120614|14126 	Skcos76	CAMNT_0000281513
MMETSP0013_2-20120614|14867 	Skcos77	CAMNT_0000282995
MMETSP0013_2-20120614|14880 	Skcos78	CAMNT_0000283021
MMETSP0013_2-20120614|14895 	Skcos79	CAMNT_0000283051
MMETSP0013_2-20120614|14896 	Skcos80	CAMNT_0000283053
MMETSP0013_2-20120614|14898 	Skcos81	CAMNT_0000283057
MMETSP0013_2-20120614|14903 	Skcos82	CAMNT_0000283067
MMETSP0013_2-20120614|14909 	Skcos83	CAMNT_0000283079
MMETSP0013_2-20120614|14910 	Skcos84	CAMNT_0000283081
MMETSP0013_2-20120614|14912 	Skcos85	CAMNT_0000283085
MMETSP0013_2-20120614|14918 	Skcos86	CAMNT_0000283097
MMETSP0013_2-20120614|14255 	Skcos87	CAMNT_0000281771
