Short ID	Description	MMETSP_ID	S1	S2	S3	S4	S5	+N	-N	+P	-P	Control	Up -N v +N	Dn -N v +N	Up -P v +P	Dn_-P_v_+P	KEGG	KEGG Definition
Throt9995	Locus8108v1rpkm12.73		90.78080951	313.0342462	230.6181981	194.5819892	263.39474959999995	169.71926430000002	254.4279825	290.5212329	124.36027309999999	271.2502807	0	0	0	1	K00939	adenylate kinase [EC:2.7.4.3]
Throt9980	Locus8097v1rpkm12.74		63.18242126	3.419701849	24.17132317	20.70551937	43.66623833	9.154378125	47.47832824	13.217290700000001	8.489538937999999	17.27544564	1	0	0	0	NaN	NaN
Throt9951	Locus8074v1rpkm12.78		26.89565152	84.0457493	73.70272309999999	41.16157465	34.4089958	22.23206116	59.76683672	52.86916282	31.89313277	50.27928207	1	0	0	0	NaN	NaN
Throt9939	Locus8064v1rpkm12.80		370.3422609	1058.529249	765.6894010999999	656.5894816000001	890.9659268999999	540.6895397000001	814.1136871	1099.108429	467.3835356000001	986.5052985	0	0	0	1	NaN	NaN
Throt9930	Locus8059v1rpkm12.81		4545.748417	12006.178609999999	8297.896368000002	7049.106756	9992.931309	5524.158622	9151.028841	12337.95213	5458.544089999999	11592.85539	0	0	0	1	NaN	NaN
Throt9910	Locus8044v1rpkm12.83		214.718016	906.7470981	749.5751857000001	310.3333264	349.5045716	424.1528531	713.8506292999999	771.5269495	275.795292	616.2435085	0	0	0	1	NaN	NaN
Throt99	Locus101v1rpkm1995.61		1413.5230060000001	1729.448447	1839.265984	2104.229589	1312.956454	3608.4233649999996	1354.80806	1386.519711	3455.0129009999996	1665.66237	1	1	1	1	NaN	NaN
Throt984	Locus872v1rpkm107.29		1925.881973	143.89053169999997	792.8986502	595.2213158	777.7830371	295.7009442	866.6191325	570.6759632999999	524.5158382000001	604.6405972	1	0	0	0	NaN	NaN
Throt9825	Locus7977v1rpkm12.97		194.97750219999998	860.1865421	572.1867321000001	215.78643680000002	180.2542318	325.34369239999995	548.7936176	681.5975402	170.70856669999998	454.83412089999996	0	0	0	1	K14721	DNA-directed RNA polymerase III subunit RPC5
Throt9812	Locus7969v2rpkm4.35		12.71314644	83.38811433	53.62599566	23.94855252	64.80069768	38.94243393	61.72182671	54.94246332	21.56801784	58.27239871	0	0	0	1	NaN	NaN
Throt98	Locus100v1rpkm2056.50		5416.055925	221.6229852	1443.014785	2705.936971	2439.8947329999996	1188.61608	1254.2657179999999	500.18374630000005	1842.688843	621.1425155000001	1	0	1	1	NaN	NaN
Throt979	Locus868v1rpkm107.95		289.0164548	21.04431907	93.11903188	86.31457471	125.06010659999998	48.24211964	220.91386839999998	82.41369498	56.44396159	63.9449331	1	0	0	0	NaN	NaN
Throt9775	Locus7939v1rpkm13.03		48.74437555	211.88998769999998	188.74765469999997	57.37674042	54.67013039	115.8101487	180.41764730000003	179.3404935	55.75562059	158.3152779	0	0	0	1	NaN	NaN
Throt974	Locus863v1rpkm108.07		2.23598053	10.25910555	4.755014394	3.741961332	5.414613553	5.231073213999999	1.3964214190000002	0.259162563	8.489538937999999	2.062739777	0	0	1	0	NaN	NaN
Throt9717	Locus7893v1rpkm13.10		759.9778395	46.29750196	190.3326595	253.70497830000002	299.0264001	92.70624196	281.518558	107.293301	145.2399499	107.004626	1	0	0	0	NaN	NaN
Throt97	Locus99v1rpkm2142.79		10869.16524	1558.989462	4388.0857829999995	5918.286042	3694.8624229999996	2077.462604	5666.398833	4253.635144	2894.473884	4348.513293	1	0	1	1	NaN	NaN
Throt9692	Locus7873v1rpkm13.13		62.73522515	187.2944397	143.5750179	92.05224876	70.38997619	48.67804241	140.2007104	124.1388676	61.49179555	118.6075372	1	0	0	0	NaN	NaN
Throt9675	Locus7858v2rpkm4.28		36.98950648	172.1688354	142.9145993	44.4046078	42.61824861	88.49232187	138.52500469999998	130.3587691	43.59492968	118.34969469999999	0	0	0	1	K01001	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase [EC:2.7.8.15]
Throt9664	Locus7850v2rpkm6.44		4.79138685	15.65171231	12.54795465	7.234458574	8.209252806	15.69321964	17.31562559	31.87699523	11.93124391	32.48815149	0	0	0	1	NaN	NaN
Throt9590	Locus7793v1rpkm13.29		14.05473476	21.70195404	26.284662899999997	8.232314929	6.8119331789999995	5.376380804	15.08135132	17.10472915	3.9005989710000004	20.11171283	0	0	0	1	NaN	NaN
Throt9577	Locus7780v2rpkm1.56		876.1849419	3270.9448190000003	2021.67362	2369.160451	1877.4735829999997	1341.189049	2118.0920079999996	2571.410948	972.1669319	2555.4767420000003	0	0	0	1	NaN	NaN
Throt9546	Locus7754v1rpkm13.35		20.05993961	86.54476219	80.0427423	22.95069617	22.53177898	48.96865759	78.19959945	62.19901508	23.63304083	63.9449331	0	0	0	1	NaN	NaN
Throt9524	Locus7732v2rpkm0.89_PRE		31.36761258	112.85016100000001	97.60987881	59.12298904	106.0216267	32.40359241	87.13669653	82.15453242	53.00225661	76.32137176	1	0	0	0	NaN	NaN
Throt952	Locus841v2rpkm56.52		15.07689729	13.6788074	112.00700570000001	51.1401382	63.75270796	25.42882812	68.98321809	68.15975402	62.40958354	60.59298096	1	0	0	0	K02930	large subunit ribosomal protein L4e
Throt951	Locus841v1rpkm110.96		16.61014108	17.09850925	113.5920105	50.89067411	64.80069768	25.86475089	68.98321809	68.93724171	62.40958354	61.88219332	1	0	0	0	K02930	large subunit ribosomal protein L4e
Throt945	Locus836v1rpkm111.26		1621.724736	152.4397863	593.4522131	517.6379842	617.9646048	296.7180973	1024.135469	369.0474895	379.5053352	425.44007910000005	1	0	0	0	NaN	NaN
Throt9348	Locus7613v1rpkm13.58		1.533243792	0.526107977	3.302093329	0.49892817799999994	1.222654673	4.0686125	17.31562559	8.811527136	3.9005989710000004	7.735274165	1	0	0	0	K05863	solute carrier family 25 (mitochondrial adenine nucleotide translocator), member 4/5/6/31
