gID	Description	MMETSP_ID	KeggID	Kegg Definition	Module Definition	Submodule1
Throt53	Locus56v1rpkm6412.80		K09969	aapJ, bztA; general L-amino acid transport system substrate-binding protein	General L-amino acid transport system [PATH:map02010] [BR:ko02000]	Phosphate and amino acid transport system
Throt15452	Locus12203v1rpkm7.78		K09969	aapJ, bztA; general L-amino acid transport system substrate-binding protein	General L-amino acid transport system [PATH:map02010] [BR:ko02000]	Phosphate and amino acid transport system
Throt17719	Locus13946v3rpkm2.02		K09969	aapJ, bztA; general L-amino acid transport system substrate-binding protein	General L-amino acid transport system [PATH:map02010] [BR:ko02000]	Phosphate and amino acid transport system
Skcos11184	CAMNT_0000263583	MMETSP0013_2-20120614|5161 	K09969	aapJ, bztA; general L-amino acid transport system substrate-binding protein	General L-amino acid transport system [PATH:map02010] [BR:ko02000]	Phosphate and amino acid transport system
Skcos18160	CAMNT_0000291127	MMETSP0013_2-20120614|18933 	K09969	aapJ, bztA; general L-amino acid transport system substrate-binding protein	General L-amino acid transport system [PATH:map02010] [BR:ko02000]	Phosphate and amino acid transport system
Throt54	Locus57v1rpkm6206.20		K01001	ALG7; UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase [EC:2.7.8.15]	N-glycan precursor biosynthesis [PATH:map00510]	Glycan metabolism
Throt9675	Locus7858v2rpkm4.28		K01001	ALG7; UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase [EC:2.7.8.15]	N-glycan precursor biosynthesis [PATH:map00510]	Glycan metabolism
Skcos7427	CAMNT_0000264639	MMETSP0013_2-20120614|5689 	K01001	ALG7; UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase [EC:2.7.8.15]	N-glycan precursor biosynthesis [PATH:map00510]	Glycan metabolism
Throt81	Locus84v1rpkm3002.47		K02703	psbA; photosystem II P680 reaction center D1 protein	Photosystem II [PATH:map00195] [BR:ko00194]	Photosynthesis
Skcos3847	CAMNT_0000284613	MMETSP0013_2-20120614|15676 	K02703	psbA; photosystem II P680 reaction center D1 protein	Photosystem II [PATH:map00195] [BR:ko00194]	Photosynthesis
Throt169	Locus167v1rpkm662.16		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	Carbon fixation
Throt169	Locus167v1rpkm662.16		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P [PATH:map01200 map00710]	Carbon fixation
Throt169	Locus167v1rpkm662.16		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map01200 map00010]	Central carbohydrate metabolism
Throt169	Locus167v1rpkm662.16		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Glycolysis, core module involving three-carbon compounds [PATH:map01200 map01230 map00010]	Central carbohydrate metabolism
Throt169	Locus167v1rpkm662.16		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020]	Central carbohydrate metabolism
Throt169	Locus167v1rpkm662.16		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P [PATH:map01200 map00030]	Central carbohydrate metabolism
Throt169	Locus167v1rpkm662.16		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	Other carbohydrate metabolism
Throt514	Locus478v1rpkm209.43		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	Carbon fixation
Throt514	Locus478v1rpkm209.43		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P [PATH:map01200 map00710]	Carbon fixation
Throt514	Locus478v1rpkm209.43		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map01200 map00010]	Central carbohydrate metabolism
Throt514	Locus478v1rpkm209.43		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Glycolysis, core module involving three-carbon compounds [PATH:map01200 map01230 map00010]	Central carbohydrate metabolism
Throt514	Locus478v1rpkm209.43		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Gluconeogenesis, oxaloacetate => fructose-6P [PATH:map00010 map00020]	Central carbohydrate metabolism
Throt514	Locus478v1rpkm209.43		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P [PATH:map01200 map00030]	Central carbohydrate metabolism
Throt514	Locus478v1rpkm209.43		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	D-galactonate degradation, De Ley-Doudoroff pathway, D-galactonate => glycerate-3P [PATH:map00052]	Other carbohydrate metabolism
Throt2991	Locus2496v1rpkm38.91		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Reductive pentose phosphate cycle (Calvin cycle) [PATH:map01200 map00710]	Carbon fixation
Throt2991	Locus2496v1rpkm38.91		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Reductive pentose phosphate cycle, ribulose-5P => glyceraldehyde-3P [PATH:map01200 map00710]	Carbon fixation
Throt2991	Locus2496v1rpkm38.91		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map01200 map00010]	Central carbohydrate metabolism
Throt2991	Locus2496v1rpkm38.91		K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	Glycolysis, core module involving three-carbon compounds [PATH:map01200 map01230 map00010]	Central carbohydrate metabolism
