New Seq Name	Old Seq Name	Description
Skcos1	CAMNT_0000301489	CAMNT_0000301489 /NCGR_SEQ_ID=MMETSP0013_2-20120614|24114 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=275
Skcos2	CAMNT_0000278401	CAMNT_0000278401 /NCGR_SEQ_ID=MMETSP0013_2-20120614|12570 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2514
Skcos3	CAMNT_0000278403	CAMNT_0000278403 /NCGR_SEQ_ID=MMETSP0013_2-20120614|12571 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=670
Skcos4	CAMNT_0000277889	CAMNT_0000277889 /NCGR_SEQ_ID=MMETSP0013_2-20120614|12314 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1702
Skcos5	CAMNT_0000277897	CAMNT_0000277897 /NCGR_SEQ_ID=MMETSP0013_2-20120614|12318 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1872
Skcos6	CAMNT_0000277901	CAMNT_0000277901 /NCGR_SEQ_ID=MMETSP0013_2-20120614|12320 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1759
Skcos7	CAMNT_0000277903	CAMNT_0000277903 /NCGR_SEQ_ID=MMETSP0013_2-20120614|12321 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=214
Skcos8	CAMNT_0000278101	CAMNT_0000278101 /NCGR_SEQ_ID=MMETSP0013_2-20120614|12420 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=664
Skcos9	CAMNT_0000279007	CAMNT_0000279007 /NCGR_SEQ_ID=MMETSP0013_2-20120614|12873 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2457
Skcos10	CAMNT_0000279015	CAMNT_0000279015 /NCGR_SEQ_ID=MMETSP0013_2-20120614|12877 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=587
Skcos11	CAMNT_0000279017	CAMNT_0000279017 /NCGR_SEQ_ID=MMETSP0013_2-20120614|12878 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1468
Skcos12	CAMNT_0000279019	CAMNT_0000279019 /NCGR_SEQ_ID=MMETSP0013_2-20120614|12879 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1452
Skcos13	CAMNT_0000279261	CAMNT_0000279261 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13000 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=2173
Skcos14	CAMNT_0000279255	CAMNT_0000279255 /NCGR_SEQ_ID=MMETSP0013_2-20120614|12997 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1144
Skcos15	CAMNT_0000280039	CAMNT_0000280039 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13389 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=310
Skcos16	CAMNT_0000280041	CAMNT_0000280041 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13390 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=181
Skcos17	CAMNT_0000279451	CAMNT_0000279451 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13095 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=696
Skcos18	CAMNT_0000279453	CAMNT_0000279453 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13096 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1905
Skcos19	CAMNT_0000279461	CAMNT_0000279461 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13100 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=171
Skcos20	CAMNT_0000279463	CAMNT_0000279463 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13101 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=1796
Skcos21	CAMNT_0000279465	CAMNT_0000279465 /NCGR_SEQ_ID=MMETSP0013_2-20120614|13102 /TAXON_ID=2843 /ORGANISM="Skeletonema costatum" /LENGTH=314
