	KEGG
Skcos6	K06685
Skcos12	K00630
Skcos13	K12858
Skcos14	K00605
Skcos23	K00248
Skcos26	K06158
Skcos45	K04615
Skcos48	K03250
Skcos49	K06641
Skcos59	K01482
Skcos67	K00797
Skcos94	K14308
Skcos97	K11368
Skcos111	K07304
Skcos136	K02975
Skcos138	K01754
Skcos143	K10837
Skcos158	K12196
Skcos188	K13525
Skcos207	K12621
Skcos208	K15109
Skcos215	K09140
Skcos222	K00432
Skcos227	K17637
Skcos236	K01137
Skcos246	K17906
Skcos258	K00434
Skcos270	K12818
Skcos279	K08901
Skcos280	K08592
Skcos288	K06099
Skcos293	K02927
Skcos300	K04498
Skcos305	K00793
Skcos308	K02949
Skcos316	K12611
Skcos321	K00428
Skcos324	K09488
Skcos327	K02960
Skcos339	K02838
Skcos349	K00927
Skcos352	K11717
Skcos359	K13099
Skcos366	K01507
Skcos368	K01230
Skcos381	K01803
Skcos382	K14648
Skcos384	K02938
Skcos385	K01802
Skcos395	K11649
Skcos399	K12614
Skcos410	K02221
Skcos415	K02738
Skcos424	K02326
Skcos426	K02996
Skcos430	K15030
Skcos440	K02155
Skcos443	K10769
Skcos444	K02233
Skcos457	K01256
Skcos460	K15263
Skcos467	K01883
Skcos473	K09503
Skcos507	K14831
Skcos515	K01733
Skcos518	K14560
Skcos538	K10685
Skcos540	K15423
Skcos557	K06177
Skcos566	K13337
Skcos573	K15262
Skcos575	K01120
Skcos590	K01923
Skcos592	K03810
Skcos600	K13106
Skcos603	K02537
Skcos612	K00257
Skcos619	K00958
Skcos623	K01011
Skcos634	K01409
Skcos636	K12343
Skcos640	K11322
Skcos642	K16914
Skcos645	K08360
Skcos649	K14560
Skcos663	K05610
Skcos664	K06158
Skcos691	K10752
Skcos695	K00382
Skcos698	K11968
Skcos700	K00434
Skcos702	K14292
Skcos704	K02516
Skcos716	K01965
Skcos725	K03347
Skcos729	K14016
Skcos730	K05658
Skcos741	K15275
Skcos751	K02962
Skcos757	K03320
Skcos759	K17655
Skcos771	K02910
Skcos777	K11519
Skcos782	K13181
Skcos784	K11253
Skcos808	K00698
Skcos814	K00800
Skcos817	K00012
Skcos818	K02875
Skcos819	K00099
Skcos821	K11090
Skcos824	K07977
Skcos835	K15445
Skcos837	K03253
Skcos840	K01555
Skcos843	K14191
Skcos845	K02984
Skcos851	K09490
Skcos852	K00145
Skcos853	K08142
Skcos855	K11274
Skcos867	K01537
Skcos880	K01756
Skcos889	K11827
Skcos890	K00655
Skcos894	K09565
Skcos908	K03142
Skcos909	K02895
Skcos910	K02730
Skcos925	K08910
Skcos928	K13754
Skcos952	K12625
Skcos955	K02155
Skcos957	K07243
Skcos968	K02293
Skcos976	K03872
Skcos985	K11294
Skcos986	K13127
Skcos992	K10843
Skcos993	K14568
Skcos996	K00616
Skcos1005	K15111
Skcos1023	K02973
Skcos1029	K03267
Skcos1032	K12589
Skcos1041	K11320
Skcos1049	K02902
Skcos1061	K14793
Skcos1071	K17430
Skcos1073	K08737
Skcos1079	K17302
Skcos1091	K08515
Skcos1097	K07200
Skcos1098	K00213
Skcos1103	K15171
Skcos1114	K08874
Skcos1129	K02202
Skcos1160	K06875
Skcos1165	K15362
Skcos1177	K07565
Skcos1182	K01948
Skcos1188	K03676
Skcos1199	K10751
Skcos1207	K03065
Skcos1222	K02865
Skcos1229	K17781
Skcos1235	K07390
Skcos1236	K10839
Skcos1254	K13421
Skcos1255	K04488
Skcos1257	K07953
Skcos1261	K02934
Skcos1265	K04523
Skcos1268	K02575
Skcos1269	K13199
Skcos1292	K02148
Skcos1293	K08495
Skcos1305	K01870
Skcos1311	K17777
Skcos1323	K14844
Skcos1348	K10251
Skcos1359	K02575
Skcos1365	K10258
Skcos1383	K01868
Skcos1385	K01875
Skcos1411	K01845
Skcos1413	K03036
Skcos1426	K12605
Skcos1432	K01802
Skcos1433	K10357
Skcos1450	K07376
Skcos1453	K05309
Skcos1462	K12733
Skcos1470	K03885
Skcos1507	K02735
Skcos1511	K03644
Skcos1519	K04640
Skcos1531	K11099
Skcos1535	K04345
Skcos1536	K03066
Skcos1549	K06207
Skcos1551	K02134
Skcos1553	K02016
Skcos1556	K12864
Skcos1558	K09839
Skcos1602	K11754
Skcos1605	K00387
Skcos1607	K11294
Skcos1624	K01166
Skcos1635	K09142
Skcos1645	K02995
Skcos1649	K15109
Skcos1650	K14966
Skcos1663	K06067
Skcos1678	K08832
Skcos1684	K03005
Skcos1691	K00939
Skcos1695	K00543
Skcos1697	K07300
Skcos1699	K10295
Skcos1700	K11434
Skcos1706	K00927
Skcos1707	K16575
Skcos1712	K17609
Skcos1713	K14544
Skcos1725	K07568
Skcos1727	K02717
Skcos1728	K12591
Skcos1732	K01807
Skcos1742	K09496
Skcos1744	K01770
Skcos1757	K13280
Skcos1763	K12657
Skcos1764	K15455
Skcos1770	K06269
Skcos1771	K00655
Skcos1782	K03163
Skcos1785	K13917
Skcos1786	K10256
Skcos1796	K09838
Skcos1815	K15272
Skcos1816	K00600
Skcos1827	K00814
Skcos1831	K15283
Skcos1833	K15414
Skcos1846	K11295
Skcos1848	K17279
Skcos1856	K00991
Skcos1860	K11293
Skcos1861	K00059
Skcos1881	K03237
Skcos1884	K01354
Skcos1894	K13535
Skcos1911	K03955
Skcos1919	K17805
Skcos1920	K03320
Skcos1934	K02087
Skcos1937	K14807
Skcos1950	K02957
Skcos1953	K07556
Skcos1958	K14299
Skcos1962	K03247
Skcos1963	K07393
Skcos1974	K00472
Skcos1976	K09602
Skcos1979	K08851
Skcos1984	K14769
Skcos1993	K02342
Skcos1996	K15382
Skcos2000	K12826
Skcos2009	K14780
Skcos2011	K00789
Skcos2013	K02738
Skcos2028	K03029
Skcos2029	K00962
Skcos2031	K15424
Skcos2034	K13628
Skcos2035	K05868
Skcos2038	K10704
Skcos2040	K05868
Skcos2054	K10884
Skcos2057	K08341
Skcos2089	K17339
Skcos2105	K02920
Skcos2114	K04523
Skcos2130	K01755
Skcos2153	K02973
Skcos2156	K07375
Skcos2163	K10844
Skcos2169	K09313
Skcos2187	K01126
Skcos2189	K14297
Skcos2199	K00797
Skcos2230	K14548
Skcos2232	K00766
Skcos2240	K06119
Skcos2244	K03236
Skcos2246	K04575
Skcos2254	K17822
Skcos2264	K03252
Skcos2275	K01874
Skcos2287	K02732
Skcos2292	K01358
Skcos2294	K03754
Skcos2298	K02267
Skcos2300	K02503
Skcos2301	K03626
Skcos2302	K01792
Skcos2306	K00928
